,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$40,231,758"
1,"Russell Westbrook, PG",Houston Rockets,"$38,506,482"
2,"Chris Paul, PG",Oklahoma City Thunder,"$38,506,482"
3,"Kevin Durant, PF",Phoenix Suns,"$38,199,000"
4,"James Harden, SG",Houston Rockets,"$38,199,000"
5,"John Wall, PG",Houston Rockets,"$38,199,000"
6,"LeBron James, SF",Los Angeles Lakers,"$37,436,858"
7,"Kyle Lowry, PG",Toronto Raptors,"$34,996,296"
8,"Blake Griffin, PF",Detroit Pistons,"$34,449,964"
9,"Tobias Harris, F",Philadelphia 76ers,"$32,742,000"
10,"Jimmy Butler, SF",Miami Heat,"$32,742,000"
11,"Kawhi Leonard, SF",LA Clippers,"$32,742,000"
12,"Klay Thompson, SG",Dallas Mavericks,"$32,742,000"
13,"Kemba Walker, PG",Boston Celtics,"$32,742,000"
14,"Gordon Hayward, SF",Boston Celtics,"$32,700,690"
15,"Mike Conley, PG",Utah Jazz,"$32,511,624"
16,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
17,"Khris Middleton, SF",Milwaukee Bucks,"$30,603,448"
18,"Paul George, F",LA Clippers,"$30,560,700"
19,"Paul Millsap, PF",Denver Nuggets,"$30,350,000"
20,"Damian Lillard, PG",Portland Trail Blazers,"$29,802,321"
21,"Kevin Love, PF",Cleveland Cavaliers,"$28,942,830"
22,"Nikola Vucevic, C",Orlando Magic,"$28,000,000"
23,"Al Horford, C",Philadelphia 76ers,"$28,000,000"
24,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
25,"CJ McCollum, SG",Portland Trail Blazers,"$27,556,959"
26,"Joel Embiid, C",Philadelphia 76ers,"$27,504,630"
27,"Andrew Wiggins, SF",Golden State Warriors,"$27,504,630"
28,"Nikola Jokic, C",Denver Nuggets,"$27,504,630"
29,"Devin Booker, SG",Phoenix Suns,"$27,285,000"
30,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$27,285,000"
31,"D'Angelo Russell, PG",Minnesota Timberwolves,"$27,285,000"
32,"Kristaps Porzingis, C",Dallas Mavericks,"$27,285,000"
33,"Otto Porter Jr., SF",Chicago Bulls,"$27,250,575"
34,"Bradley Beal, SG",Washington Wizards,"$27,093,019"
35,"Andre Drummond, C",Cleveland Cavaliers,"$27,093,019"
36,"Anthony Davis, PF",Los Angeles Lakers,"$27,093,018"
37,"Hassan Whiteside, C",Portland Trail Blazers,"$27,093,017"
38,"Jrue Holiday, PG",New Orleans Pelicans,"$26,231,111"
39,"LaMarcus Aldridge, C",San Antonio Spurs,"$26,000,000"
40,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$25,842,697"
41,"Steven Adams, C",Oklahoma City Thunder,"$25,842,697"
42,"Marc Gasol, C",Toronto Raptors,"$25,595,700"
43,"Nicolas Batum, PF",Charlotte Hornets,"$25,565,217"
44,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
45,"Harrison Barnes, SF",Sacramento Kings,"$24,147,727"
46,"Serge Ibaka, F",Toronto Raptors,"$23,271,604"
47,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
48,"Danilo Gallinari, PF",Oklahoma City Thunder,"$22,615,559"
49,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
50,"Tim Hardaway Jr., SF",Dallas Mavericks,"$20,025,127"
51,"Malcolm Brogdon, PG",Indiana Pacers,"$20,000,000"
52,"Terry Rozier, SG",Charlotte Hornets,"$19,894,737"
53,"Aaron Gordon, PF",Orlando Magic,"$19,863,636"
54,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
