,NAME,TEAM,SALARY
0,"LeBron James, SF",Cleveland Cavaliers,"$30,963,450"
1,"Kevin Durant, PF",Golden State Warriors,"$26,540,100"
2,"Mike Conley, PG",Memphis Grizzlies,"$26,540,100"
3,"James Harden, SG",Houston Rockets,"$26,540,100"
4,"Russell Westbrook, PG",Oklahoma City Thunder,"$26,540,100"
5,"DeMar DeRozan, SF",Toronto Raptors,"$26,540,100"
6,"Al Horford, C",Boston Celtics,"$26,540,100"
7,"Dirk Nowitzki, F",Dallas Mavericks,"$25,000,000"
8,"Carmelo Anthony, PF",New York Knicks,"$24,559,380"
9,"Damian Lillard, PG",Portland Trail Blazers,"$24,328,425"
10,"Chris Bosh, PF",Miami Heat,"$23,741,060"
11,"Dwyane Wade, G",Chicago Bulls,"$23,200,000"
12,"Dwight Howard, C",Atlanta Hawks,"$23,180,275"
13,"Chris Paul, PG",LA Clippers,"$22,868,827"
14,"Hassan Whiteside, C",Miami Heat,"$22,116,750"
15,"Harrison Barnes, SF",Dallas Mavericks,"$22,116,750"
16,"Bradley Beal, SG",Washington Wizards,"$22,116,750"
17,"Anthony Davis, PF",New Orleans Pelicans,"$22,116,750"
18,"Andre Drummond, C",Detroit Pistons,"$22,116,750"
19,"Chandler Parsons, SF",Memphis Grizzlies,"$22,116,750"
20,"Derrick Rose, PG",New York Knicks,"$21,323,252"
21,"Marc Gasol, C",Memphis Grizzlies,"$21,165,675"
22,"Brook Lopez, C",Brooklyn Nets,"$21,165,675"
23,"Kevin Love, PF",Cleveland Cavaliers,"$21,165,675"
24,"DeAndre Jordan, C",LA Clippers,"$21,165,675"
25,"Nicolas Batum, PF",Charlotte Hornets,"$20,869,566"
26,"LaMarcus Aldridge, C",San Antonio Spurs,"$20,575,005"
27,"Blake Griffin, PF",LA Clippers,"$20,140,839"
28,"Paul Millsap, PF",Atlanta Hawks,"$20,072,033"
29,"Ryan Anderson, PF",Houston Rockets,"$18,735,364"
30,"Allen Crabbe, G",Portland Trail Blazers,"$18,500,000"
31,"Paul George, F",Indiana Pacers,"$18,314,532"
32,"Luol Deng, F",Los Angeles Lakers,"$18,000,000"
33,"Kawhi Leonard, SF",San Antonio Spurs,"$17,638,063"
34,"Kyrie Irving, PG",Cleveland Cavaliers,"$17,638,063"
35,"Jimmy Butler, SF",Chicago Bulls,"$17,552,209"
36,"Tobias Harris, F",Detroit Pistons,"$17,200,000"
37,"Greg Monroe, C",Milwaukee Bucks,"$17,145,838"
38,"Enes Freedom, C",Oklahoma City Thunder,"$17,145,838"
39,"Wesley Matthews, SG",Dallas Mavericks,"$17,145,838"
40,"Bismack Biyombo, C",Orlando Magic,"$17,000,000"
41,"Joakim Noah, C",New York Knicks,"$17,000,000"
42,"Evan Fournier, SG",Orlando Magic,"$17,000,000"
43,"John Wall, PG",Washington Wizards,"$16,957,900"
44,"DeMarcus Cousins, C",New Orleans Pelicans,"$16,957,900"
45,"Klay Thompson, SG",Golden State Warriors,"$16,663,575"
46,"Evan Turner, G",Portland Trail Blazers,"$16,393,443"
47,"Gordon Hayward, SF",Utah Jazz,"$16,073,140"
48,"Timofey Mozgov, C",Los Angeles Lakers,"$16,000,000"
49,"Ian Mahinmi, C",Washington Wizards,"$15,944,154"
50,"Goran Dragic, PG",Miami Heat,"$15,891,725"
51,"Kent Bazemore, SF",Atlanta Hawks,"$15,730,338"
52,"Pau Gasol, PF",San Antonio Spurs,"$15,500,000"
53,"Draymond Green, PF",Golden State Warriors,"$15,330,435"
54,"Tristan Thompson, C",Cleveland Cavaliers,"$15,330,435"
55,"Khris Middleton, SF",Milwaukee Bucks,"$15,200,000"
56,"Danilo Gallinari, PF",Denver Nuggets,"$15,050,000"
57,"Jeff Green, PF",Orlando Magic,"$15,000,000"
58,"Reggie Jackson, PG",Detroit Pistons,"$14,956,522"
59,"Tony Parker, G",San Antonio Spurs,"$14,445,313"
60,"Jonas Valanciunas, C",Toronto Raptors,"$14,382,023"
61,"DeMarre Carroll, F",Toronto Raptors,"$14,200,000"
62,"Thaddeus Young, F",Indiana Pacers,"$14,153,652"
63,"Manu Ginobili, G",San Antonio Spurs,"$14,000,000"
64,"Eric Bledsoe, SG",Phoenix Suns,"$14,000,000"
65,"Rajon Rondo, PG",Chicago Bulls,"$14,000,000"
66,"Ricky Rubio, PG",Minnesota Timberwolves,"$13,550,000"
67,"Rudy Gay, SF",Sacramento Kings,"$13,333,333"
68,"Jamal Crawford, G",LA Clippers,"$13,253,012"
69,"Robin Lopez, C",Chicago Bulls,"$13,219,250"
70,"Michael Kidd-Gilchrist, F",Charlotte Hornets,"$13,000,000"
71,"JR Smith, G",Cleveland Cavaliers,"$12,800,000"
72,"Brandon Knight, PG",Phoenix Suns,"$12,606,250"
73,"John Henson, F",Milwaukee Bucks,"$12,517,606"
74,"Miles Plumlee, C",Charlotte Hornets,"$12,500,000"
75,"Jordan Clarkson, PG",Los Angeles Lakers,"$12,500,000"
76,"Arron Afflalo, G",Sacramento Kings,"$12,500,000"
77,"Tyson Chandler, C",Phoenix Suns,"$12,415,000"
78,"Eric Gordon, SG",Houston Rockets,"$12,385,364"
79,"Marvin Williams, F",Charlotte Hornets,"$12,250,000"
80,"Serge Ibaka, F",Toronto Raptors,"$12,250,000"
81,"Stephen Curry, PG",Golden State Warriors,"$12,112,359"
82,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
83,"Kenneth Faried, F",Denver Nuggets,"$12,078,652"
84,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
85,"Amir Johnson, F",Boston Celtics,"$12,000,000"
86,"Marcin Gortat, C",Washington Wizards,"$12,000,000"
87,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
88,"Nikola Vucevic, C",Orlando Magic,"$11,750,000"
89,"Jeremy Lin, G",Brooklyn Nets,"$11,483,254"
90,"Jrue Holiday, PG",New Orleans Pelicans,"$11,286,518"
91,"Courtney Lee, G",New York Knicks,"$11,242,000"
92,"Solomon Hill, SF",New Orleans Pelicans,"$11,241,218"
93,"Wilson Chandler, F",Denver Nuggets,"$11,233,146"
94,"Andre Iguodala, F",Golden State Warriors,"$11,131,368"
95,"Derrick Favors, F",Utah Jazz,"$11,050,000"
96,"Austin Rivers, SG",LA Clippers,"$11,000,000"
97,"Joe Johnson, G",Utah Jazz,"$11,000,000"
98,"Jon Leuer, F",Detroit Pistons,"$10,991,957"
99,"Monta Ellis, SG",Indiana Pacers,"$10,763,500"
100,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
101,"Jared Dudley, SF",Phoenix Suns,"$10,470,000"
102,"Zach Randolph, F",Memphis Grizzlies,"$10,361,445"
103,"Al Jefferson, C",Indiana Pacers,"$10,314,532"
104,"Tyreke Evans, G",Sacramento Kings,"$10,203,755"
105,"Alec Burks, SG",Utah Jazz,"$10,154,495"
106,"Terrence Ross, G",Orlando Magic,"$10,000,000"
107,"Danny Green, F",San Antonio Spurs,"$10,000,000"
108,"Omer Asik, C",New Orleans Pelicans,"$9,904,494"
109,"Iman Shumpert, G",Cleveland Cavaliers,"$9,662,922"
110,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
111,"Jerryd Bayless, G",Philadelphia 76ers,"$9,424,084"
112,"Trevor Booker, F",Brooklyn Nets,"$9,250,000"
113,"Meyers Leonard, C",Portland Trail Blazers,"$9,213,483"
114,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
115,"Maurice Harkless, SF",Portland Trail Blazers,"$8,988,765"
116,"Taj Gibson, F",Oklahoma City Thunder,"$8,950,000"
117,"Jeff Teague, PG",Indiana Pacers,"$8,800,000"
118,"Tiago Splitter, C",Philadelphia 76ers,"$8,550,000"
119,"Ersan Ilyasova, PF",Atlanta Hawks,"$8,400,000"
120,"Dwight Powell, C",Dallas Mavericks,"$8,375,000"
121,"Avery Bradley, PG",Boston Celtics,"$8,269,663"
122,"E'Twaun Moore, G",New Orleans Pelicans,"$8,081,363"
123,"Darrell Arthur, F",Denver Nuggets,"$8,070,175"
124,"Kosta Koufos, C",Sacramento Kings,"$8,046,500"
125,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
126,"Kevin Garnett, PF",Minnesota Timberwolves,"$8,000,000"
127,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000"
128,"George Hill, PG",Utah Jazz,"$8,000,000"
129,"Anthony Tolliver, PF",Sacramento Kings,"$8,000,000"
130,"Tyler Zeller, C",Boston Celtics,"$8,000,000"
131,"Trevor Ariza, SF",Houston Rockets,"$7,806,971"
132,"Channing Frye, F",Cleveland Cavaliers,"$7,806,971"
133,"Al-Farouq Aminu, SF",Portland Trail Blazers,"$7,680,965"
134,"Cole Aldrich, C",Minnesota Timberwolves,"$7,643,979"
135,"Corey Brewer, F",Los Angeles Lakers,"$7,612,172"
136,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000"
137,"Markieff Morris, PF",Washington Wizards,"$7,400,000"
138,"JJ Redick, SG",LA Clippers,"$7,377,500"
139,"Cory Joseph, PG",Toronto Raptors,"$7,315,000"
140,"D.J. Augustin, G",Orlando Magic,"$7,250,000"
141,"Boris Diaw, C",Utah Jazz,"$7,000,000"
142,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000"
143,"Boban Marjanovic, C",Detroit Pistons,"$7,000,000"
144,"Lou Williams, SG",Houston Rockets,"$7,000,000"
145,"Ed Davis, C",Portland Trail Blazers,"$6,666,667"
146,"Isaiah Thomas, G",Boston Celtics,"$6,587,132"
147,"Victor Oladipo, SG",Oklahoma City Thunder,"$6,552,961"
148,"Jodie Meeks, G",Orlando Magic,"$6,540,000"
149,"Jeremy Lamb, SG",Charlotte Hornets,"$6,511,628"
150,"Aron Baynes, C",Detroit Pistons,"$6,500,000"
151,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000"
152,"Tim Duncan, C",San Antonio Spurs,"$6,393,750"
153,"Spencer Hawes, PF",Milwaukee Bucks,"$6,348,759"
154,"Marco Belinelli, G",Charlotte Hornets,"$6,333,333"
155,"Jae Crowder, PF",Boston Celtics,"$6,286,408"
156,"Lance Thomas, F",New York Knicks,"$6,191,000"
157,"Tarik Black, F",Los Angeles Lakers,"$6,191,000"
158,"Patrick Patterson, PF",Toronto Raptors,"$6,050,000"
159,"Andrew Wiggins, SF",Minnesota Timberwolves,"$6,006,600"
160,"Ish Smith, PG",Detroit Pistons,"$6,000,000"
161,"Ramon Sessions, G",Charlotte Hornets,"$6,000,000"
162,"Patrick Beverley, PG",Houston Rockets,"$6,000,000"
163,"Wayne Ellington, SG",Miami Heat,"$6,000,000"
164,"Alex Abrines, G",Oklahoma City Thunder,"$5,994,764"
165,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$5,960,160"
166,"Ben Simmons, PG",Brooklyn Nets,"$5,903,160"
167,"Otto Porter Jr., SF",Washington Wizards,"$5,893,981"
168,"Nikola Mirotic, F",Chicago Bulls,"$5,782,450"
169,"Shaun Livingston, G",Golden State Warriors,"$5,782,450"
170,"Josh McRoberts, PF",Miami Heat,"$5,782,450"
171,"Brandan Wright, F",Memphis Grizzlies,"$5,709,880"
172,"Wesley Johnson, F",LA Clippers,"$5,628,000"
173,"Tyler Johnson, G",Miami Heat,"$5,628,000"
174,"Jared Sullinger, C",Toronto Raptors,"$5,628,000"
175,"Tony Allen, SG",Memphis Grizzlies,"$5,505,618"
176,"Luis Scola, F",Brooklyn Nets,"$5,500,000"
177,"Nick Young, G",Los Angeles Lakers,"$5,443,918"
178,"Jabari Parker, PF",Milwaukee Bucks,"$5,374,320"
179,"D'Angelo Russell, PG",Los Angeles Lakers,"$5,332,800"
180,"Cody Zeller, C",Charlotte Hornets,"$5,318,313"
181,"P.J. Tucker, PF",Toronto Raptors,"$5,300,000"
182,"Brandon Ingram, SF",Los Angeles Lakers,"$5,281,680"
183,"Kyle Korver, G",Cleveland Cavaliers,"$5,239,437"
184,"Darren Collison, PG",Sacramento Kings,"$5,229,454"
185,"Langston Galloway, SG",Sacramento Kings,"$5,200,000"
186,"C.J. Watson, PG",Orlando Magic,"$5,000,000"
187,"Brandon Jennings, G",Washington Wizards,"$5,000,000"
188,"Jonas Jerebko, F",Boston Celtics,"$5,000,000"
189,"Roy Hibbert, C",Denver Nuggets,"$5,000,000"
190,"Jason Smith, F",Washington Wizards,"$5,000,000"
191,"Kyle Singler, F",Oklahoma City Thunder,"$4,837,500"
192,"Mike Dunleavy, SG",Atlanta Hawks,"$4,837,500"
193,"Joel Embiid, C",Philadelphia 76ers,"$4,826,160"
194,"Alex Len, C",Phoenix Suns,"$4,823,621"
195,"Jahlil Okafor, C",Philadelphia 76ers,"$4,788,840"
196,"Jaylen Brown, SG",Boston Celtics,"$4,743,000"
197,"Alexis Ajinca, C",New Orleans Pelicans,"$4,638,203"
198,"Marcus Morris Sr., F",Detroit Pistons,"$4,625,000"
199,"CJ Miles, G",Indiana Pacers,"$4,583,450"
200,"Jameer Nelson, G",Denver Nuggets,"$4,540,525"
201,"Nerlens Noel, C",Dallas Mavericks,"$4,384,490"
202,"Aaron Gordon, PF",Orlando Magic,"$4,351,320"
203,"Greivis Vasquez, PG",Brooklyn Nets,"$4,347,826"
204,"Kristaps Porzingis, C",New York Knicks,"$4,317,720"
205,"Dragan Bender, F",Phoenix Suns,"$4,276,320"
206,"Vince Carter, G",Memphis Grizzlies,"$4,264,057"
207,"Devin Harris, G",Dallas Mavericks,"$4,227,996"
208,"J.J. Barea, G",Dallas Mavericks,"$4,096,950"
209,"Ben McLemore, SG",Sacramento Kings,"$4,008,882"
210,"Lavoy Allen, F",Indiana Pacers,"$4,000,000"
211,"Leandro Barbosa, G",Phoenix Suns,"$4,000,000"
212,"Kris Humphries, PF",Atlanta Hawks,"$4,000,000"
213,"Jordan Hill, C",Minnesota Timberwolves,"$4,000,000"
214,"Udonis Haslem, PF",Miami Heat,"$4,000,000"
215,"Lance Stephenson, G",Indiana Pacers,"$4,000,000"
216,"James Johnson, PF",Miami Heat,"$4,000,000"
217,"Dante Exum, G",Utah Jazz,"$3,940,320"
218,"Kyle O'Quinn, C",New York Knicks,"$3,918,750"
219,"Kris Dunn, G",Minnesota Timberwolves,"$3,872,520"
220,"Thabo Sefolosha, F",Atlanta Hawks,"$3,850,000"
221,"Nemanja Bjelica, PF",Minnesota Timberwolves,"$3,800,000"
222,"Nick Collison, F",Oklahoma City Thunder,"$3,750,000"
223,"Bojan Bogdanovic, SF",Washington Wizards,"$3,730,653"
224,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$3,678,319"
225,"Quincy Pondexter, F",San Antonio Spurs,"$3,617,978"
226,"Patty Mills, PG",San Antonio Spurs,"$3,578,948"
227,"Marcus Smart, PG",Boston Celtics,"$3,578,880"
228,"Willie Cauley-Stein, C",Sacramento Kings,"$3,551,160"
229,"Drew Gooden, PF",Washington Wizards,"$3,547,000"
