,NAME,TEAM,SALARY
0,"Kobe Bryant, SF",Los Angeles Lakers,"$30,453,805"
1,"Dirk Nowitzki, F",Dallas Mavericks,"$22,721,381"
2,"Amar'e Stoudemire, C",New York Knicks,"$21,679,893"
3,"Joe Johnson, G",Brooklyn Nets,"$21,466,718"
4,"Carmelo Anthony, PF",New York Knicks,"$21,388,953"
5,"Dwight Howard, C",Houston Rockets,"$20,513,178"
6,"Pau Gasol, PF",Los Angeles Lakers,"$19,285,850"
7,"Chris Bosh, PF",Miami Heat,"$19,067,500"
8,"LeBron James, SF",Miami Heat,"$19,067,500"
9,"Dwyane Wade, G",Miami Heat,"$18,673,000"
10,"Chris Paul, PG",LA Clippers,"$18,668,431"
11,"Deron Williams, PG",Brooklyn Nets,"$18,466,130"
12,"Zach Randolph, F",Memphis Grizzlies,"$18,238,333"
13,"Rudy Gay, SF",Sacramento Kings,"$17,888,932"
14,"Kevin Durant, PF",Oklahoma City Thunder,"$17,832,627"
15,"Derrick Rose, PG",Chicago Bulls,"$17,632,688"
16,"Blake Griffin, PF",LA Clippers,"$16,441,500"
17,"Paul Pierce, SF",Brooklyn Nets,"$15,333,334"
18,"Carlos Boozer, PF",Chicago Bulls,"$15,300,000"
19,"LaMarcus Aldridge, C",Portland Trail Blazers,"$14,878,000"
20,"Marc Gasol, C",Memphis Grizzlies,"$14,860,523"
21,"Brook Lopez, C",Brooklyn Nets,"$14,693,906"
22,"Kevin Love, PF",Minnesota Timberwolves,"$14,693,906"
23,"Russell Westbrook, PG",Oklahoma City Thunder,"$14,693,906"
24,"Emeka Okafor, C",Philadelphia 76ers,"$14,487,500"
25,"Eric Gordon, SG",New Orleans Pelicans,"$14,283,844"
26,"Roy Hibbert, C",Indiana Pacers,"$14,283,844"
27,"Luol Deng, F",Cleveland Cavaliers,"$14,275,000"
28,"Tyson Chandler, C",New York Knicks,"$14,100,538"
29,"Andrew Bogut, C",Golden State Warriors,"$14,000,000"
30,"David Lee, PF",Golden State Warriors,"$13,878,000"
31,"James Harden, SG",Houston Rockets,"$13,701,250"
32,"Al Jefferson, C",Charlotte Bobcats,"$13,500,000"
33,"Josh Smith, PF",Detroit Pistons,"$13,500,000"
34,"Nene Hilario, C",Washington Wizards,"$13,000,000"
35,"Andre Iguodala, F",Golden State Warriors,"$12,868,632"
36,"Tony Parker, G",San Antonio Spurs,"$12,500,000"
37,"Kevin Garnett, PF",Brooklyn Nets,"$12,433,735"
38,"Serge Ibaka, F",Oklahoma City Thunder,"$12,350,000"
39,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
40,"Kris Humphries, PF",Boston Celtics,"$12,000,000"
41,"David West, F",Indiana Pacers,"$12,000,000"
42,"Al Horford, C",Atlanta Hawks,"$12,000,000"
43,"Rajon Rondo, PG",Boston Celtics,"$11,954,545"
44,"Andrea Bargnani, C",New York Knicks,"$11,862,500"
45,"Tyreke Evans, G",New Orleans Pelicans,"$11,796,247"
46,"Nicolas Batum, PF",Portland Trail Blazers,"$11,295,250"
47,"Joakim Noah, C",Chicago Bulls,"$11,100,000"
48,"Richard Jefferson, F",Utah Jazz,"$11,046,000"
49,"DeAndre Jordan, C",LA Clippers,"$10,986,550"
50,"Ty Lawson, G",Denver Nuggets,"$10,786,517"
51,"JaVale McGee, C",Denver Nuggets,"$10,750,000"
52,"Tim Duncan, C",San Antonio Spurs,"$10,361,446"
53,"Danilo Gallinari, PF",Milwaukee Bucks,"$10,146,925"
54,"Gerald Wallace, SF",Boston Celtics,"$10,105,855"
55,"Tiago Splitter, C",San Antonio Spurs,"$10,000,000"
56,"Stephen Curry, PG",Golden State Warriors,"$9,887,642"
