,NAME,TEAM,SALARY
0,"Kobe Bryant, SF",Los Angeles Lakers,"$30,453,805"
1,"Dirk Nowitzki, F",Dallas Mavericks,"$20,907,128"
2,"Amar'e Stoudemire, C",New York Knicks,"$19,948,799"
3,"Joe Johnson, G",Brooklyn Nets,"$19,752,645"
4,"Carmelo Anthony, PF",New York Knicks,"$19,444,503"
5,"Pau Gasol, PF",Los Angeles Lakers,"$19,285,850"
6,"Chris Bosh, PF",Miami Heat,"$19,067,500"
7,"LeBron James, SF",Miami Heat,"$19,067,500"
8,"Dwyane Wade, G",Miami Heat,"$18,673,000"
9,"Chris Paul, PG",LA Clippers,"$18,668,431"
10,"Kevin Durant, PF",Oklahoma City Thunder,"$17,832,626"
11,"Derrick Rose, PG",Chicago Bulls,"$17,632,688"
12,"Deron Williams, PG",Brooklyn Nets,"$17,177,795"
13,"Andrew Bynum, C",Philadelphia 76ers,"$16,889,000"
14,"Paul Pierce, SF",Boston Celtics,"$16,790,345"
15,"Zach Randolph, F",Memphis Grizzlies,"$16,500,000"
16,"Rudy Gay, SF",Toronto Raptors,"$16,460,538"
17,"Carlos Boozer, PF",Chicago Bulls,"$15,300,000"
18,"Andre Iguodala, F",Denver Nuggets,"$14,968,250"
19,"Russell Westbrook, PG",Oklahoma City Thunder,"$14,693,906"
20,"Emeka Okafor, C",Washington Wizards,"$14,487,500"
21,"Luol Deng, F",Chicago Bulls,"$14,275,000"
22,"Manu Ginobili, G",San Antonio Spurs,"$14,107,492"
23,"Marc Gasol, C",Memphis Grizzlies,"$13,891,359"
24,"Blake Griffin, PF",LA Clippers,"$13,701,250"
25,"Eric Gordon, SG",New Orleans Hornets,"$13,668,750"
26,"Brook Lopez, C",Brooklyn Nets,"$13,668,750"
27,"Kevin Love, PF",Minnesota Timberwolves,"$13,668,750"
28,"Roy Hibbert, C",Indiana Pacers,"$13,668,750"
29,"Tyson Chandler, C",New York Knicks,"$13,604,188"
30,"LaMarcus Aldridge, C",Portland Trail Blazers,"$13,500,000"
31,"Al Jefferson, C",Utah Jazz,"$13,500,000"
32,"Ben Gordon, SG",Charlotte Bobcats,"$13,200,000"
33,"Josh Smith, PF",Atlanta Hawks,"$13,200,000"
34,"Danny Granger, SF",Indiana Pacers,"$13,058,606"
35,"Andrew Bogut, C",Golden State Warriors,"$13,000,000"
36,"Nene Hilario, C",Washington Wizards,"$13,000,000"
37,"David Lee, PF",Golden State Warriors,"$12,744,000"
38,"Tony Parker, G",San Antonio Spurs,"$12,500,000"
39,"Kevin Martin, SG",Oklahoma City Thunder,"$12,439,675"
40,"Serge Ibaka, F",Oklahoma City Thunder,"$12,350,000"
41,"Kris Humphries, PF",Brooklyn Nets,"$12,000,000"
42,"Hedo Turkoglu, SF",Orlando Magic,"$12,000,000"
43,"Al Horford, C",Atlanta Hawks,"$12,000,000"
