,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$55,761,216"
1,"Joel Embiid, C",Philadelphia 76ers,"$51,415,938"
2,"Nikola Jokic, C",Denver Nuggets,"$51,415,938"
3,"Kevin Durant, PF",Phoenix Suns,"$51,179,021"
4,"Bradley Beal, SG",Phoenix Suns,"$50,203,930"
5,"Kawhi Leonard, SF",LA Clippers,"$49,350,000"
6,"Devin Booker, SG",Phoenix Suns,"$49,205,800"
7,"Paul George, F",Philadelphia 76ers,"$49,205,800"
8,"Karl-Anthony Towns, C",New York Knicks,"$49,205,800"
9,"Jaylen Brown, SG",Boston Celtics,"$49,205,800"
10,"Jimmy Butler, SF",Miami Heat,"$48,798,677"
11,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$48,787,676"
12,"Damian Lillard, PG",Milwaukee Bucks,"$48,787,676"
13,"LeBron James, SF",Los Angeles Lakers,"$48,728,845"
14,"Rudy Gobert, C",Minnesota Timberwolves,"$43,827,587"
15,"Anthony Davis, PF",Los Angeles Lakers,"$43,219,440"
16,"Luka Doncic, PG",Dallas Mavericks,"$43,031,940"
17,"Zach LaVine, SG",Chicago Bulls,"$43,031,940"
18,"Trae Young, PG",Atlanta Hawks,"$43,031,940"
19,"Fred VanVleet, PG",Houston Rockets,"$42,846,615"
20,"Lauri Markkanen, PF",Utah Jazz,"$42,176,400"
21,"Anthony Edwards, SG",Minnesota Timberwolves,"$42,176,400"
22,"Tyrese Haliburton, PG",Indiana Pacers,"$42,176,000"
23,"Pascal Siakam, PF",Indiana Pacers,"$42,176,000"
24,"Kyrie Irving, PG",Dallas Mavericks,"$41,000,000"
25,"Domantas Sabonis, PF",Sacramento Kings,"$40,500,000"
26,"Ben Simmons, PG",Brooklyn Nets,"$40,338,144"
27,"Ja Morant, PG",Memphis Grizzlies,"$36,725,670"
28,"Darius Garland, PG",Cleveland Cavaliers,"$36,725,670"
29,"Zion Williamson, PF",New Orleans Pelicans,"$36,725,670"
30,"OG Anunoby, SF",New York Knicks,"$36,637,931"
31,"Jamal Murray, PG",Denver Nuggets,"$36,016,200"
32,"Brandon Ingram, SF",New Orleans Pelicans,"$36,016,200"
33,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$35,859,950"
34,"Michael Porter Jr., SF",Denver Nuggets,"$35,859,950"
35,"Donovan Mitchell, SG",Cleveland Cavaliers,"$35,410,310"
36,"LaMelo Ball, PG",Charlotte Hornets,"$35,147,000"
37,"Tyrese Maxey, PG",Philadelphia 76ers,"$35,147,000"
38,"De'Aaron Fox, PG",Sacramento Kings,"$34,848,340"
39,"Bam Adebayo, C",Miami Heat,"$34,848,340"
40,"Jayson Tatum, SF",Boston Celtics,"$34,848,340"
41,"Desmond Bane, SG",Memphis Grizzlies,"$34,005,250"
42,"Deandre Ayton, C",Portland Trail Blazers,"$34,005,126"
43,"James Harden, SG",LA Clippers,"$33,653,846"
44,"CJ McCollum, SG",New Orleans Pelicans,"$33,333,333"
45,"Julius Randle, PF",Minnesota Timberwolves,"$33,073,920"
46,"Immanuel Quickley, SG",Toronto Raptors,"$32,500,000"
47,"Khris Middleton, SF",Milwaukee Bucks,"$31,666,676"
48,"Isaiah Hartenstein, C",Oklahoma City Thunder,"$30,000,000"
49,"Jrue Holiday, PG",Boston Celtics,"$30,000,000"
50,"Jerami Grant, SF",Portland Trail Blazers,"$29,793,104"
51,"Jordan Poole, SG",Washington Wizards,"$29,651,786"
52,"Dejounte Murray, SG",New Orleans Pelicans,"$29,535,801"
53,"Devin Vassell, SG",San Antonio Spurs,"$29,347,826"
54,"Kristaps Porzingis, C",Boston Celtics,"$29,268,293"
55,"Tyler Herro, PG",Miami Heat,"$29,000,000"
56,"Nic Claxton, C",Brooklyn Nets,"$27,556,817"
57,"Miles Bridges, SF",Charlotte Hornets,"$27,173,913"
58,"John Collins, PF",Utah Jazz,"$26,580,000"
59,"Andrew Wiggins, SF",Golden State Warriors,"$26,276,786"
60,"Anfernee Simons, SG",Portland Trail Blazers,"$25,892,857"
61,"RJ Barrett, SG",Toronto Raptors,"$25,794,643"
62,"Tobias Harris, F",Detroit Pistons,"$25,365,854"
63,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$25,257,798"
64,"Jonathan Isaac, PF",Orlando Magic,"$25,000,000"
65,"Jalen Brunson, PG",New York Knicks,"$24,960,001"
