,NAME,TEAM,SALARY
0,"Kobe Bryant, SF",Los Angeles Lakers,"$23,500,000"
1,"Joe Johnson, G",Brooklyn Nets,"$23,180,790"
2,"Carmelo Anthony, PF",New York Knicks,"$22,458,401"
3,"Dwight Howard, C",Houston Rockets,"$21,436,271"
4,"Chris Bosh, PF",Miami Heat,"$20,644,400"
5,"LeBron James, SF",Cleveland Cavaliers,"$20,644,400"
6,"Chris Paul, PG",LA Clippers,"$20,068,563"
7,"Deron Williams, PG",Brooklyn Nets,"$19,754,465"
8,"Rudy Gay, SF",Sacramento Kings,"$19,317,326"
9,"Kevin Durant, PF",Oklahoma City Thunder,"$18,995,624"
10,"Derrick Rose, PG",Chicago Bulls,"$18,862,876"
11,"Blake Griffin, PF",LA Clippers,"$17,674,613"
12,"Zach Randolph, F",Memphis Grizzlies,"$16,500,000"
13,"LaMarcus Aldridge, C",Portland Trail Blazers,"$16,006,000"
14,"Paul George, F",Indiana Pacers,"$15,937,290"
15,"Marc Gasol, C",Memphis Grizzlies,"$15,829,688"
16,"Kevin Love, PF",Cleveland Cavaliers,"$15,719,063"
17,"Brook Lopez, C",Brooklyn Nets,"$15,719,062"
18,"Russell Westbrook, PG",Oklahoma City Thunder,"$15,719,062"
19,"David Lee, PF",Golden State Warriors,"$15,012,000"
20,"Dwyane Wade, G",Miami Heat,"$15,000,000"
21,"Eric Gordon, SG",New Orleans Pelicans,"$14,898,938"
22,"Roy Hibbert, C",Indiana Pacers,"$14,898,938"
23,"Tyson Chandler, C",Dallas Mavericks,"$14,846,888"
24,"Gordon Hayward, SF",Utah Jazz,"$14,746,000"
25,"John Wall, PG",Washington Wizards,"$14,746,000"
26,"DeMarcus Cousins, C",Sacramento Kings,"$14,746,000"
27,"James Harden, SG",Houston Rockets,"$14,728,844"
28,"Chandler Parsons, SF",Dallas Mavericks,"$14,700,000"
29,"Al Jefferson, C",Charlotte Hornets,"$13,500,000"
30,"Eric Bledsoe, SG",Phoenix Suns,"$13,000,000"
31,"Nene Hilario, C",Washington Wizards,"$13,000,000"
32,"Andrew Bogut, C",Golden State Warriors,"$12,972,973"
33,"Derrick Favors, F",Utah Jazz,"$12,950,000"
34,"Rajon Rondo, PG",Dallas Mavericks,"$12,909,090"
35,"Joakim Noah, C",Chicago Bulls,"$12,700,000"
36,"Tony Parker, G",San Antonio Spurs,"$12,500,000"
37,"Serge Ibaka, F",Oklahoma City Thunder,"$12,350,000"
38,"Andre Iguodala, F",Golden State Warriors,"$12,289,544"
39,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
40,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
41,"Kevin Garnett, PF",Minnesota Timberwolves,"$12,000,000"
42,"David West, F",Indiana Pacers,"$12,000,000"
43,"Al Horford, C",Atlanta Hawks,"$12,000,000"
44,"Nicolas Batum, PF",Portland Trail Blazers,"$11,765,500"
45,"Ty Lawson, G",Denver Nuggets,"$11,595,506"
46,"Andrea Bargnani, C",New York Knicks,"$11,500,000"
47,"DeAndre Jordan, C",LA Clippers,"$11,440,123"
48,"Tyreke Evans, G",New Orleans Pelicans,"$11,265,416"
49,"JaVale McGee, C",Philadelphia 76ers,"$11,250,000"
50,"Larry Sanders, PF",Milwaukee Bucks,"$11,000,000"
51,"Danilo Gallinari, PF",Denver Nuggets,"$10,854,850"
52,"Stephen Curry, PG",Golden State Warriors,"$10,629,213"
53,"Marcin Gortat, C",Washington Wizards,"$10,434,782"
54,"Tim Duncan, C",San Antonio Spurs,"$10,361,446"
55,"Gerald Wallace, SF",Boston Celtics,"$10,105,855"
56,"DeMar DeRozan, SF",Toronto Raptors,"$10,100,000"
57,"Jrue Holiday, PG",New Orleans Pelicans,"$9,904,495"
58,"Luol Deng, F",Miami Heat,"$9,714,461"
59,"Anderson Varejao, C",Cleveland Cavaliers,"$9,704,545"
60,"Steve Nash, PG",Los Angeles Lakers,"$9,701,000"
