,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$43,006,362"
1,"Russell Westbrook, PG",Washington Wizards,"$41,358,814"
2,"Chris Paul, PG",Phoenix Suns,"$41,358,814"
3,"James Harden, SG",Brooklyn Nets,"$41,254,920"
4,"John Wall, PG",Houston Rockets,"$41,254,920"
5,"Kevin Durant, PF",Brooklyn Nets,"$40,108,950"
6,"LeBron James, SF",Los Angeles Lakers,"$39,219,565"
7,"Paul George, F",LA Clippers,"$35,450,412"
8,"Klay Thompson, SG",Dallas Mavericks,"$35,361,360"
9,"Mike Conley, PG",Utah Jazz,"$34,502,130"
10,"Jimmy Butler, SF",Miami Heat,"$34,379,100"
11,"Kawhi Leonard, SF",LA Clippers,"$34,379,100"
12,"Kemba Walker, PG",Boston Celtics,"$34,379,100"
13,"Tobias Harris, F",Philadelphia 76ers,"$34,358,850"
14,"Khris Middleton, SF",Milwaukee Bucks,"$33,051,724"
15,"Anthony Davis, PF",Los Angeles Lakers,"$32,742,000"
16,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
17,"Damian Lillard, PG",Portland Trail Blazers,"$31,626,953"
18,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256"
19,"Ben Simmons, PG",Philadelphia 76ers,"$30,559,200"
20,"Pascal Siakam, PF",Toronto Raptors,"$30,559,200"
21,"Kyle Lowry, PG",Toronto Raptors,"$30,500,000"
22,"Steven Adams, C",New Orleans Pelicans,"$29,592,696"
23,"Joel Embiid, C",Philadelphia 76ers,"$29,542,010"
24,"Andrew Wiggins, SF",Golden State Warriors,"$29,542,010"
25,"Nikola Jokic, C",Denver Nuggets,"$29,542,010"
26,"Devin Booker, SG",Phoenix Suns,"$29,467,800"
27,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$29,467,800"
28,"Kristaps Porzingis, C",Dallas Mavericks,"$29,467,800"
29,"CJ McCollum, SG",Portland Trail Blazers,"$29,354,152"
30,"Bradley Beal, SG",Washington Wizards,"$28,751,775"
31,"D'Angelo Russell, PG",Minnesota Timberwolves,"$28,649,250"
32,"Gordon Hayward, SF",Charlotte Hornets,"$28,500,000"
