,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$51,915,615"
1,"Kevin Durant, PF",Phoenix Suns,"$47,649,433"
2,"LeBron James, SF",Los Angeles Lakers,"$47,607,350"
3,"Nikola Jokic, C",Denver Nuggets,"$47,607,350"
4,"Joel Embiid, C",Philadelphia 76ers,"$46,900,000"
5,"Bradley Beal, SG",Phoenix Suns,"$46,741,590"
6,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$45,640,084"
7,"Damian Lillard, PG",Milwaukee Bucks,"$45,640,084"
8,"Kawhi Leonard, SF",LA Clippers,"$45,640,084"
9,"Paul George, F",LA Clippers,"$45,640,084"
10,"Jimmy Butler, SF",Miami Heat,"$45,183,960"
11,"Klay Thompson, SG",Golden State Warriors,"$43,219,440"
12,"Rudy Gobert, C",Minnesota Timberwolves,"$41,000,000"
13,"Fred VanVleet, PG",Houston Rockets,"$40,806,300"
14,"Anthony Davis, PF",Los Angeles Lakers,"$40,600,080"
15,"Luka Doncic, PG",Dallas Mavericks,"$40,064,220"
16,"Zach LaVine, SG",Chicago Bulls,"$40,064,220"
17,"Trae Young, PG",Atlanta Hawks,"$40,064,220"
18,"Tobias Harris, F",Philadelphia 76ers,"$39,270,150"
19,"Ben Simmons, PG",Brooklyn Nets,"$37,893,408"
20,"Pascal Siakam, PF",Indiana Pacers,"$37,893,408"
21,"Kyrie Irving, PG",Dallas Mavericks,"$37,037,037"
22,"Jrue Holiday, PG",Boston Celtics,"$36,861,707"
23,"Devin Booker, SG",Phoenix Suns,"$36,016,200"
24,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$36,016,200"
25,"Kristaps Porzingis, C",Boston Celtics,"$36,016,200"
26,"CJ McCollum, SG",New Orleans Pelicans,"$35,802,469"
27,"James Harden, SG",LA Clippers,"$35,640,000"
28,"Ja Morant, PG",Memphis Grizzlies,"$34,005,250"
29,"Darius Garland, PG",Cleveland Cavaliers,"$34,005,250"
30,"Zion Williamson, PF",New Orleans Pelicans,"$34,005,250"
