,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$45,780,966"
1,"James Harden, SG",Philadelphia 76ers,"$44,310,840"
2,"John Wall, PG",Houston Rockets,"$44,310,840"
3,"Russell Westbrook, PG",Los Angeles Lakers,"$44,211,146"
4,"Kevin Durant, PF",Brooklyn Nets,"$42,018,900"
5,"LeBron James, SF",Los Angeles Lakers,"$41,180,544"
6,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$39,344,970"
7,"Damian Lillard, PG",Portland Trail Blazers,"$39,344,900"
8,"Kawhi Leonard, SF",LA Clippers,"$39,344,900"
9,"Paul George, F",LA Clippers,"$39,344,900"
10,"Klay Thompson, SG",Golden State Warriors,"$37,980,720"
11,"Jimmy Butler, SF",Miami Heat,"$36,016,200"
12,"Tobias Harris, F",Philadelphia 76ers,"$35,995,950"
13,"Khris Middleton, SF",Milwaukee Bucks,"$35,500,000"
14,"Anthony Davis, PF",Los Angeles Lakers,"$35,361,360"
15,"Rudy Gobert, C",Utah Jazz,"$35,344,828"
16,"Kyrie Irving, PG",Brooklyn Nets,"$35,328,700"
17,"Bradley Beal, SG",Washington Wizards,"$33,724,200"
18,"Ben Simmons, PG",Brooklyn Nets,"$33,003,936"
19,"Pascal Siakam, PF",Toronto Raptors,"$33,003,936"
20,"Jrue Holiday, PG",Milwaukee Bucks,"$32,413,333"
21,"Devin Booker, SG",Phoenix Suns,"$31,650,600"
22,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$31,650,600"
23,"Kristaps Porzingis, C",Washington Wizards,"$31,650,600"
24,"Joel Embiid, C",Philadelphia 76ers,"$31,579,390"
25,"Andrew Wiggins, SF",Golden State Warriors,"$31,579,390"
26,"Nikola Jokic, C",Denver Nuggets,"$31,579,390"
27,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256"
28,"CJ McCollum, SG",New Orleans Pelicans,"$30,864,198"
29,"D'Angelo Russell, PG",Minnesota Timberwolves,"$30,013,500"
30,"Chris Paul, PG",Phoenix Suns,"$30,000,000"
31,"Gordon Hayward, SF",Charlotte Hornets,"$29,925,000"
32,"Jamal Murray, PG",Denver Nuggets,"$29,467,800"
33,"Brandon Ingram, SF",New Orleans Pelicans,"$29,467,800"
34,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550"
35,"Bam Adebayo, C",Miami Heat,"$28,103,500"
36,"Donovan Mitchell, SG",Utah Jazz,"$28,103,500"
37,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
38,"Al Horford, C",Boston Celtics,"$27,000,000"
39,"Kyle Lowry, PG",Miami Heat,"$26,894,128"
40,"Jaylen Brown, SG",Boston Celtics,"$26,758,928"
41,"DeMar DeRozan, SF",Chicago Bulls,"$26,000,000"
42,"Draymond Green, PF",Golden State Warriors,"$24,026,712"
43,"Nikola Vucevic, C",Chicago Bulls,"$24,000,000"
44,"John Collins, PF",Atlanta Hawks,"$23,000,000"
45,"Buddy Hield, SG",Indiana Pacers,"$22,768,890"
46,"Julius Randle, PF",New York Knicks,"$21,780,000"
47,"Malcolm Brogdon, PG",Indiana Pacers,"$21,700,000"
48,"Tim Hardaway Jr., SF",Dallas Mavericks,"$21,308,816"
49,"Mike Conley, PG",Utah Jazz,"$21,000,000"
50,"Gary Harris, SG",Orlando Magic,"$20,482,143"
51,"Danilo Gallinari, PF",Atlanta Hawks,"$20,475,000"
52,"Harrison Barnes, SF",Sacramento Kings,"$20,284,091"
53,"Jerami Grant, SF",Detroit Pistons,"$20,002,500"
54,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
55,"Domantas Sabonis, PF",Sacramento Kings,"$19,800,000"
56,"Fred VanVleet, PG",Toronto Raptors,"$19,675,926"
57,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
58,"Bojan Bogdanovic, SF",Utah Jazz,"$18,700,000"
59,"Lonzo Ball, PG",Chicago Bulls,"$18,604,651"
60,"Clint Capela, C",Atlanta Hawks,"$18,603,448"
61,"Eric Gordon, SG",Houston Rockets,"$18,218,818"
62,"Eric Bledsoe, SG",LA Clippers,"$18,125,000"
63,"Myles Turner, C",Indiana Pacers,"$18,000,000"
64,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
65,"Terry Rozier, SG",Charlotte Hornets,"$17,905,263"
66,"Ricky Rubio, PG",Cleveland Cavaliers,"$17,800,000"
67,"Caris LeVert, SG",Cleveland Cavaliers,"$17,500,000"
68,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
69,"Joe Harris, SF",Brooklyn Nets,"$17,357,143"
70,"Spencer Dinwiddie, PG",Dallas Mavericks,"$17,142,857"
71,"Steven Adams, C",Memphis Grizzlies,"$17,073,171"
72,"Evan Fournier, SG",New York Knicks,"$17,000,000"
73,"Markelle Fultz, PG",Orlando Magic,"$16,500,000"
74,"Aaron Gordon, PF",Denver Nuggets,"$16,409,091"
75,"OG Anunoby, SF",Toronto Raptors,"$16,071,429"
76,"Davis Bertans, SF",Dallas Mavericks,"$16,000,000"
77,"Gary Trent Jr., SG",Toronto Raptors,"$16,000,000"
78,"Lauri Markkanen, PF",Cleveland Cavaliers,"$15,690,909"
79,"Duncan Robinson, F",Miami Heat,"$15,650,000"
80,"Marcus Morris Sr., F",LA Clippers,"$15,627,907"
81,"Will Barton, G",Denver Nuggets,"$15,625,000"
82,"Norman Powell, G",LA Clippers,"$15,517,241"
83,"Dejounte Murray, SG",San Antonio Spurs,"$15,428,880"
84,"Derrick White, PG",Boston Celtics,"$15,178,571"
85,"Malik Beasley, SG",Minnesota Timberwolves,"$14,491,964"
86,"Marcus Smart, PG",Boston Celtics,"$14,339,285"
87,"Patrick Beverley, PG",Minnesota Timberwolves,"$14,320,988"
88,"Thaddeus Young, F",Toronto Raptors,"$14,190,000"
89,"Jonas Valanciunas, C",New Orleans Pelicans,"$14,000,000"
90,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
91,"Christian Wood, F",Houston Rockets,"$13,666,667"
92,"Derrick Rose, PG",New York Knicks,"$13,445,120"
93,"Luke Kennard, SG",LA Clippers,"$13,347,727"
94,"Brook Lopez, C",Milwaukee Bucks,"$13,302,325"
95,"Kentavious Caldwell-Pope, SG",Washington Wizards,"$13,038,862"
96,"Joe Ingles, SG",Utah Jazz,"$13,036,364"
97,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
98,"Taurean Prince, PF",Minnesota Timberwolves,"$13,000,000"
99,"Robert Covington, PF",LA Clippers,"$12,975,471"
100,"T.J. Warren, SF",New York Knicks,"$12,690,000"
101,"Deandre Ayton, C",Phoenix Suns,"$12,632,950"
102,"Terrence Ross, G",Orlando Magic,"$12,500,000"
103,"Jordan Clarkson, PG",Utah Jazz,"$12,420,000"
104,"Dillon Brooks, SF",Memphis Grizzlies,"$12,200,000"
105,"Kelly Olynyk, PF",Detroit Pistons,"$12,195,122"
106,"Jusuf Nurkic, C",Portland Trail Blazers,"$12,000,000"
107,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,000,000"
108,"Josh Hart, SG",Portland Trail Blazers,"$12,000,000"
109,"Josh Richardson, SG",San Antonio Spurs,"$11,615,328"
110,"Marvin Bagley III, PF",Detroit Pistons,"$11,312,114"
111,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
112,"Devonte' Graham, PG",New Orleans Pelicans,"$11,000,000"
113,"Zion Williamson, PF",New Orleans Pelicans,"$10,733,400"
114,"Larry Nance Jr., PF",New Orleans Pelicans,"$10,690,909"
115,"Jeremy Lamb, SG",Sacramento Kings,"$10,500,000"
116,"Richaun Holmes, F",Sacramento Kings,"$10,384,500"
