,NAME,TEAM,SALARY
96,"Wendell Carter Jr., C",Orlando Magic,"$14,150,000"
97,"Kentavious Caldwell-Pope, SG",Denver Nuggets,"$14,004,703"
98,"Brook Lopez, C",Milwaukee Bucks,"$13,906,976"
99,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
100,"Zion Williamson, PF",New Orleans Pelicans,"$13,534,817"
101,"Jordan Clarkson, PG",Utah Jazz,"$13,340,000"
102,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
103,"Gary Harris, SG",Orlando Magic,"$13,000,000"
104,"Josh Hart, SG",New York Knicks,"$12,960,000"
105,"Dorian Finney-Smith, PF",Brooklyn Nets,"$12,939,648"
106,"Chris Boucher, PF",Toronto Raptors,"$12,690,000"
107,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,600,000"
108,"Marvin Bagley III, PF",Detroit Pistons,"$12,500,000"
109,"Robert Covington, PF",LA Clippers,"$12,307,692"
110,"Kelly Olynyk, PF",Utah Jazz,"$12,195,122"
111,"Josh Richardson, SG",New Orleans Pelicans,"$11,615,328"
112,"Devonte' Graham, PG",San Antonio Spurs,"$11,550,000"
113,"Dillon Brooks, SF",Memphis Grizzlies,"$11,400,000"
114,"Richaun Holmes, F",Sacramento Kings,"$11,215,260"
115,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
116,"Paolo Banchero, PF",Orlando Magic,"$11,055,120"
117,"Robert Williams III, C",Boston Celtics,"$10,937,502"
118,"RJ Barrett, SG",New York Knicks,"$10,900,635"
119,"Nicolas Batum, PF",LA Clippers,"$10,843,350"
120,"Bobby Portis, F",Milwaukee Bucks,"$10,843,350"
121,"Anthony Edwards, SG",Minnesota Timberwolves,"$10,733,400"
122,"Cade Cunningham, PG",Detroit Pistons,"$10,552,800"
123,"P.J. Tucker, PF",Philadelphia 76ers,"$10,490,000"
124,"Mo Bamba, C",Los Angeles Lakers,"$10,300,000"
125,"Talen Horton-Tucker, SF",Utah Jazz,"$10,260,000"
126,"Derrick Favors, F",Chicago Bulls,"$10,183,800"
127,"Jae Crowder, PF",Milwaukee Bucks,"$10,183,000"
128,"Ivica Zubac, C",LA Clippers,"$10,123,457"
129,"Alec Burks, SG",Detroit Pistons,"$10,012,800"
130,"Reggie Bullock Jr., SF",Dallas Mavericks,"$10,012,800"
