,NAME,TEAM,SALARY
0,"Kobe Bryant, SF",Los Angeles Lakers,"$25,000,000"
1,"LeBron James, SF",Cleveland Cavaliers,"$22,970,500"
2,"Carmelo Anthony, PF",New York Knicks,"$22,875,000"
3,"Dwight Howard, C",Houston Rockets,"$22,359,364"
4,"Chris Bosh, PF",Miami Heat,"$22,192,730"
5,"Chris Paul, PG",LA Clippers,"$21,468,695"
6,"Kevin Durant, PF",Oklahoma City Thunder,"$20,158,622"
7,"Derrick Rose, PG",Chicago Bulls,"$20,093,064"
8,"Dwyane Wade, G",Miami Heat,"$20,000,000"
9,"LaMarcus Aldridge, C",San Antonio Spurs,"$19,689,000"
10,"Brook Lopez, C",Brooklyn Nets,"$19,689,000"
11,"Kevin Love, PF",Cleveland Cavaliers,"$19,689,000"
12,"DeAndre Jordan, C",LA Clippers,"$19,689,000"
13,"Marc Gasol, C",Memphis Grizzlies,"$19,688,000"
14,"Blake Griffin, PF",LA Clippers,"$18,907,726"
15,"Paul Millsap, PF",Atlanta Hawks,"$18,671,659"
16,"Paul George, F",Indiana Pacers,"$17,120,106"
17,"Russell Westbrook, PG",Oklahoma City Thunder,"$16,744,218"
18,"Kyrie Irving, PG",Cleveland Cavaliers,"$16,407,501"
19,"Greg Monroe, C",Milwaukee Bucks,"$16,407,500"
20,"Jimmy Butler, SF",Chicago Bulls,"$16,407,500"
21,"Kawhi Leonard, SF",San Antonio Spurs,"$16,407,500"
22,"Enes Freedom, C",Oklahoma City Thunder,"$16,407,500"
23,"Wesley Matthews, SG",Dallas Mavericks,"$16,407,500"
24,"Tobias Harris, F",Detroit Pistons,"$16,000,000"
25,"John Wall, PG",Washington Wizards,"$15,851,950"
26,"DeMarcus Cousins, C",Sacramento Kings,"$15,851,950"
27,"James Harden, SG",Houston Rockets,"$15,756,438"
28,"Roy Hibbert, C",Los Angeles Lakers,"$15,592,217"
29,"Eric Gordon, SG",New Orleans Pelicans,"$15,514,031"
30,"Klay Thompson, SG",Golden State Warriors,"$15,501,000"
31,"Gordon Hayward, SF",Utah Jazz,"$15,409,570"
32,"Chandler Parsons, SF",Dallas Mavericks,"$15,361,500"
33,"Goran Dragic, PG",Miami Heat,"$14,783,000"
34,"Khris Middleton, SF",Milwaukee Bucks,"$14,700,000"
35,"Draymond Green, PF",Golden State Warriors,"$14,260,870"
36,"Tristan Thompson, C",Cleveland Cavaliers,"$14,260,870"
37,"Danilo Gallinari, PF",Denver Nuggets,"$14,000,000"
38,"Reggie Jackson, PG",Detroit Pistons,"$13,913,044"
39,"Andrew Bogut, C",Golden State Warriors,"$13,800,000"
40,"DeMarre Carroll, F",Toronto Raptors,"$13,600,000"
41,"Eric Bledsoe, SG",Phoenix Suns,"$13,500,000"
42,"Al Jefferson, C",Charlotte Hornets,"$13,500,000"
43,"Brandon Knight, PG",Phoenix Suns,"$13,500,000"
44,"Tony Parker, G",San Antonio Spurs,"$13,437,500"
45,"Joakim Noah, C",Chicago Bulls,"$13,400,000"
46,"Nicolas Batum, PF",Charlotte Hornets,"$13,125,306"
47,"Tyson Chandler, C",Phoenix Suns,"$13,000,000"
48,"Nene Hilario, C",Washington Wizards,"$13,000,000"
49,"Ricky Rubio, PG",Minnesota Timberwolves,"$12,700,000"
50,"Robin Lopez, C",New York Knicks,"$12,650,000"
51,"Rudy Gay, SF",Sacramento Kings,"$12,403,101"
52,"Serge Ibaka, F",Oklahoma City Thunder,"$12,250,000"
53,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
54,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
55,"Amir Johnson, F",Boston Celtics,"$12,000,000"
56,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
57,"Derrick Favors, F",Utah Jazz,"$12,000,000"
58,"Al Horford, C",Atlanta Hawks,"$12,000,000"
59,"Andre Iguodala, F",Golden State Warriors,"$11,710,456"
60,"Stephen Curry, PG",Golden State Warriors,"$11,370,786"
61,"Nikola Vucevic, C",Orlando Magic,"$11,250,000"
62,"Thaddeus Young, F",Brooklyn Nets,"$11,235,955"
63,"Kenneth Faried, F",Denver Nuggets,"$11,235,955"
64,"Marcin Gortat, C",Washington Wizards,"$11,217,391"
65,"Tyreke Evans, G",New Orleans Pelicans,"$10,734,586"
66,"Jrue Holiday, PG",New Orleans Pelicans,"$10,595,507"
67,"Brendan Haywood, C",Portland Trail Blazers,"$10,522,500"
