,NAME,TEAM,SALARY
0,"Kobe Bryant, SF",Los Angeles Lakers,"$25,244,493"
1,"Kevin Garnett, PF",Boston Celtics,"$21,247,044"
2,"Tim Duncan, C",San Antonio Spurs,"$21,164,619"
3,"Rashard Lewis, PF",Washington Wizards,"$21,136,631"
4,"Dirk Nowitzki, F",Dallas Mavericks,"$19,092,873"
5,"Pau Gasol, PF",Los Angeles Lakers,"$18,714,150"
6,"Carmelo Anthony, PF",New York Knicks,"$18,518,574"
7,"Amar'e Stoudemire, C",New York Knicks,"$18,217,705"
8,"Elton Brand, PF",Philadelphia 76ers,"$18,160,355"
9,"Dwight Howard, C",Orlando Magic,"$18,091,770"
10,"Joe Johnson, G",Atlanta Hawks,"$18,038,573"
11,"Andrei Kirilenko, SF",Philadelphia 76ers,"$17,823,000"
12,"Chris Bosh, PF",Miami Heat,"$17,545,000"
13,"LeBron James, SF",Miami Heat,"$17,545,000"
14,"Chris Paul, PG",LA Clippers,"$16,359,805"
15,"Deron Williams, PG",New Jersey Nets,"$16,359,805"
16,"Dwyane Wade, G",Miami Heat,"$15,691,000"
17,"Kevin Durant, PF",Oklahoma City Thunder,"$15,506,632"
18,"Paul Pierce, SF",Boston Celtics,"$15,333,334"
19,"Zach Randolph, F",Memphis Grizzlies,"$15,200,000"
20,"Antawn Jamison, PF",Cleveland Cavaliers,"$15,076,715"
21,"Brandon Roy, SG",Minnesota Timberwolves,"$15,032,144"
22,"Rudy Gay, SF",Memphis Grizzlies,"$15,032,144"
23,"Al Jefferson, C",Utah Jazz,"$15,000,000"
24,"Andrew Bynum, C",Los Angeles Lakers,"$14,900,000"
25,"Andre Iguodala, F",Philadelphia 76ers,"$14,718,250"
26,"Manu Ginobili, G",San Antonio Spurs,"$14,107,492"
27,"Chris Kaman, C",New Orleans Hornets,"$14,030,000"
28,"LaMarcus Aldridge, C",Portland Trail Blazers,"$14,000,000"
29,"Carlos Boozer, PF",Chicago Bulls,"$13,500,000"
30,"Tyson Chandler, C",New York Knicks,"$13,107,837"
31,"Nene Hilario, C",Washington Wizards,"$13,000,000"
32,"Marc Gasol, C",Memphis Grizzlies,"$12,922,194"
33,"Emeka Okafor, C",New Orleans Hornets,"$12,642,500"
34,"Tony Parker, G",San Antonio Spurs,"$12,500,000"
35,"Al Horford, C",Atlanta Hawks,"$12,498,483"
36,"Josh Smith, PF",Atlanta Hawks,"$12,400,000"
37,"Luol Deng, F",Chicago Bulls,"$12,325,000"
38,"Danny Granger, SF",Indiana Pacers,"$12,015,904"
39,"Joakim Noah, C",Chicago Bulls,"$12,000,000"
40,"Andrew Bogut, C",Milwaukee Bucks,"$12,000,000"
41,"Steve Nash, PG",Phoenix Suns,"$11,689,062"
42,"David Lee, PF",Golden State Warriors,"$11,610,000"
43,"Ben Gordon, SG",Detroit Pistons,"$11,600,000"
44,"Kevin Martin, SG",Houston Rockets,"$11,519,840"
45,"Marcus Camby, C",Houston Rockets,"$11,227,250"
46,"Jason Terry, G",Dallas Mavericks,"$11,158,000"
47,"Hedo Turkoglu, SF",Orlando Magic,"$11,015,850"
48,"Monta Ellis, SG",Milwaukee Bucks,"$11,000,000"
49,"Mehmet Okur, C",New Jersey Nets,"$10,890,000"
50,"Jose Calderon, G",Toronto Raptors,"$10,561,982"
51,"Corey Maggette, SF",Charlotte Bobcats,"$10,262,069"
52,"Jason Kidd, PG",Dallas Mavericks,"$10,121,000"
53,"DeAndre Jordan, C",LA Clippers,"$10,079,404"
54,"Rajon Rondo, PG",Boston Celtics,"$10,045,454"
55,"Andrea Bargnani, C",Toronto Raptors,"$10,000,000"
56,"Ray Allen, SG",Boston Celtics,"$10,000,000"
57,"David West, F",Indiana Pacers,"$10,000,000"
58,"Gerald Wallace, SF",New Jersey Nets,"$9,500,000"
59,"Cuttino Mobley, SG",LA Clippers,"$9,500,000"
60,"Devin Harris, G",Utah Jazz,"$9,319,000"
61,"Richard Jefferson, F",Golden State Warriors,"$9,282,000"
62,"Andris Biedrins, C",Golden State Warriors,"$9,000,000"
63,"Lamar Odom, PF",Dallas Mavericks,"$8,900,000"
64,"Paul Millsap, PF",Utah Jazz,"$8,603,633"
65,"Jameer Nelson, G",Orlando Magic,"$8,600,000"
66,"Luis Scola, F",Houston Rockets,"$8,591,793"
67,"Carl Landry, PF",New Orleans Hornets,"$8,500,000"
68,"Rodney Stuckey, PG",Detroit Pistons,"$8,500,000"
69,"Mo Williams, PG",LA Clippers,"$8,500,000"
70,"John Salmons, SF",Sacramento Kings,"$8,083,000"
71,"Thaddeus Young, F",Philadelphia 76ers,"$8,039,130"
72,"Shawn Marion, SG",Dallas Mavericks,"$8,022,449"
73,"Caron Butler, SF",LA Clippers,"$8,000,000"
74,"Kris Humphries, PF",New Jersey Nets,"$8,000,000"
75,"Kirk Hinrich, SG",Atlanta Hawks,"$8,000,000"
76,"Mark Blount, C",Miami Heat,"$7,967,375"
77,"Andre Miller, PG",Denver Nuggets,"$7,807,728"
78,"Arron Afflalo, G",Denver Nuggets,"$7,750,000"
