,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
12,13,LaMarcus Aldridge,POR,81,3211,1769,707,1415,50.0,4,23,17.4,351,444,79.1,278,431,709,170,82,94,153,220,1870,1.11,0.54
13,14,Dirk Nowitzki,DAL,73,2504,1681,610,1179,51.7,66,168,39.3,395,443,89.2,50,463,513,190,38,47,137,172,1715,1.39,0.28
14,15,Brook Lopez,NJN,82,2889,1673,644,1309,49.2,0,1,0.0,385,489,78.7,197,291,488,129,47,120,176,240,1512,0.73,0.27
15,16,Danny Granger,IND,79,2763,1622,535,1260,42.5,157,407,38.6,395,466,84.8,87,338,425,203,89,62,206,213,1399,0.98,0.43
16,17,Pau Gasol,LAL,82,3037,1541,593,1120,52.9,1,3,33.3,354,430,82.3,268,568,836,273,48,130,142,203,2083,1.92,0.34
17,18,Al Jefferson,UTA,82,2940,1528,654,1319,49.6,0,0,0.0,220,289,76.1,235,559,794,149,46,153,105,238,1831,1.42,0.44
18,19,Paul Pierce,BOS,80,2774,1511,507,1021,49.7,111,297,37.4,386,449,86.0,34,396,430,260,80,51,171,231,1584,1.52,0.47
19,20,Zach Randolph,MEM,75,2724,1504,598,1188,50.3,8,43,18.6,300,396,75.8,326,588,914,163,63,25,151,175,1832,1.08,0.42
20,21,Kevin Love,MIN,73,2611,1476,482,1026,47.0,88,211,41.7,424,499,85.0,330,782,1112,184,45,28,155,148,2071,1.19,0.29
21,22,Chris Bosh,MIA,77,2795,1438,524,1056,49.6,6,25,24.0,384,471,81.5,141,500,641,144,59,49,138,172,1574,1.04,0.43
22,23,Luol Deng,CHI,82,3208,1430,531,1155,46.0,115,333,34.5,253,336,75.3,116,360,476,230,78,48,156,162,1399,1.47,0.5
23,24,Andrea Bargnani,TOR,66,2353,1414,525,1173,44.8,77,223,34.5,287,350,82.0,74,269,343,119,34,46,152,160,1093,0.78,0.22
24,25,DeMar DeRozan,TOR,82,2851,1410,539,1154,46.7,5,52,9.6,327,402,81.3,75,240,315,148,85,31,144,217,1155,1.03,0.59
25,26,Michael Beasley,MIN,73,2361,1401,561,1246,45.0,60,164,36.6,219,291,75.3,118,291,409,158,54,52,195,222,1122,0.81,0.28
26,27,Manu Ginobili,SAS,80,2426,1393,441,1018,43.3,154,441,34.9,357,410,87.1,42,253,295,393,123,28,174,163,1428,2.26,0.71
27,28,Stephen Curry,GSW,74,2489,1373,505,1053,48.0,151,342,44.2,212,227,93.4,52,234,286,432,109,20,226,233,1431,1.91,0.48
28,29,Tony Parker,SAS,78,2528,1368,555,1069,51.9,25,70,35.7,233,303,76.9,30,208,238,513,90,3,200,135,1428,2.56,0.45
29,30,Luis Scola,HOU,74,2412,1352,569,1129,50.4,0,3,0.0,214,290,73.8,147,459,606,185,48,44,147,227,1452,1.26,0.33
30,31,Dorell Wright,GSW,82,3147,1344,485,1146,42.3,194,516,37.6,180,228,78.9,88,343,431,242,124,63,133,171,1362,1.82,0.93
31,32,David West,NOH,70,2451,1322,528,1040,50.8,2,9,22.2,264,327,80.7,155,374,529,164,67,62,142,202,1427,1.16,0.47
32,33,Ray Allen,BOS,80,2890,1321,480,978,49.1,168,378,44.4,193,219,88.1,51,223,274,219,77,16,117,147,1266,1.87,0.66
33,34,Paul Millsap,UTA,76,2605,1315,525,988,53.1,9,23,39.1,256,338,75.7,164,415,579,187,103,69,145,272,1563,1.29,0.71
34,35,Joe Johnson,ATL,72,2554,1312,514,1161,44.3,89,300,29.7,195,243,80.2,59,232,291,338,47,7,146,131,1154,2.31,0.32
35,36,Deron Williams,NJN,65,2465,1309,428,975,43.9,105,317,33.1,348,412,84.5,40,220,260,667,79,15,230,190,1489,2.9,0.34
36,37,Wesley Matthews,POR,82,2758,1300,440,979,44.9,154,378,40.7,266,315,84.4,48,210,258,164,102,9,138,195,1107,1.19,0.74
37,38,Jason Terry,DAL,82,2564,1293,492,1091,45.1,127,351,36.2,182,214,85.0,24,129,153,334,93,13,167,140,1088,2.0,0.56
38,39,Josh Smith,ATL,77,2645,1274,497,1041,47.7,51,154,33.1,229,316,72.5,134,523,657,255,99,120,197,217,1577,1.29,0.5
39,40,Chris Paul,NOH,80,2880,1268,430,928,46.3,71,183,38.8,337,384,87.8,38,289,327,782,188,5,177,196,1848,4.42,1.06
40,41,Jason Richardson,ORL,80,2715,1249,472,1056,44.7,189,479,39.5,116,159,73.0,67,264,331,147,93,13,95,162,1111,1.55,0.98
41,42,Eric Gordon,LAC,56,2112,1247,427,949,45.0,106,291,36.4,287,348,82.5,45,119,164,244,71,18,151,115,1010,1.62,0.47
42,43,Stephen Jackson,CHA,67,2405,1240,435,1059,41.1,121,359,33.7,249,305,81.6,53,251,304,241,80,28,209,161,1004,1.15,0.38
43,44,Elton Brand,PHI,81,2809,1217,502,981,51.2,0,1,0.0,213,273,78.0,237,439,676,120,92,106,101,244,1571,1.19,0.91
44,45,Chauncey Billups,NYK,72,2310,1208,339,794,42.7,146,363,40.2,384,419,91.6,25,165,190,387,71,14,177,146,1203,2.19,0.4
45,46,David Lee,GSW,73,2634,1203,496,978,50.7,1,3,33.3,210,267,78.7,217,497,714,233,74,31,170,211,1546,1.37,0.43
46,47,Lamar Odom,LAL,82,2639,1180,473,893,53.0,68,178,38.2,166,246,67.5,175,535,710,249,47,61,139,200,1608,1.79,0.34
47,48,Al Horford,ATL,77,2704,1178,513,921,55.7,2,4,50.0,150,188,79.8,182,536,718,266,59,80,119,193,1736,2.23,0.5
48,48,D.J. Augustin,CHA,82,2757,1178,399,958,41.6,111,333,33.3,269,297,90.6,38,187,225,498,54,3,155,152,1216,3.21,0.35
49,50,Raymond Felton,DEN,75,2737,1164,427,1005,42.5,116,329,35.3,194,241,80.5,48,221,269,625,125,11,221,150,1348,2.83,0.57
50,51,Jrue Holiday,PHI,82,2901,1145,446,999,44.6,81,222,36.5,172,209,82.3,68,264,332,531,120,29,218,203,1349,2.44,0.55
51,52,DeMarcus Cousins,SAC,81,2309,1143,432,1004,43.0,3,18,16.7,276,402,68.7,217,482,699,204,85,68,268,332,1233,0.76,0.32
52,53,John Wall,WAS,69,2606,1131,398,972,40.9,34,115,29.6,301,393,76.6,35,282,317,574,121,35,261,175,1251,2.2,0.46
53,54,Nick Young,WAS,64,2034,1115,412,935,44.1,105,271,38.7,186,228,81.6,26,148,174,75,45,17,90,144,771,0.83,0.5
54,55,Gerald Wallace,POR,71,2693,1113,386,851,45.4,62,186,33.3,279,374,74.6,111,458,569,173,105,63,152,183,1311,1.14,0.69
55,56,Mike Conley,MEM,81,2872,1107,423,953,44.4,80,217,36.9,181,247,73.3,32,215,247,528,144,18,176,182,1272,3.0,0.82
56,57,Steve Nash,PHX,75,2497,1106,399,811,49.2,81,205,39.5,227,249,91.2,40,220,260,855,48,4,265,87,1574,3.23,0.18
57,58,JJ Hickson,CLE,80,2256,1105,429,936,45.8,0,5,0.0,247,367,67.3,217,478,695,91,48,54,173,215,1193,0.53,0.28
58,59,Wilson Chandler,DEN,72,2400,1100,429,953,45.0,112,320,35.0,130,161,80.7,75,333,408,120,48,94,104,199,1111,1.15,0.46
59,60,Tayshaun Prince,DET,78,2562,1098,473,1001,47.3,34,98,34.7,118,168,70.2,78,251,329,215,30,41,82,90,1053,2.62,0.37
60,61,Nene,DEN,75,2291,1091,402,654,61.5,1,5,20.0,286,402,71.1,145,426,571,149,84,73,134,238,1466,1.11,0.63
61,62,Beno Udrih,SAC,79,2734,1086,412,824,50.0,65,182,35.7,197,228,86.4,41,224,265,386,94,9,141,181,1256,2.74,0.67
62,63,Rodney Stuckey,DET,70,2183,1082,363,827,43.9,26,90,28.9,330,381,86.6,70,146,216,361,76,10,155,177,1075,2.33,0.49
63,64,Devin Harris,UTA,71,2254,1079,343,813,42.2,58,180,32.2,335,402,83.3,17,152,169,503,70,7,207,163,1084,2.43,0.34
64,65,Jamal Crawford,ATL,76,2297,1077,368,874,42.1,119,349,34.1,222,260,85.4,22,108,130,241,57,14,145,97,830,1.66,0.39
65,66,Andray Blatche,WAS,64,2172,1076,426,957,44.5,4,18,22.2,220,283,77.7,183,343,526,144,98,51,172,182,1129,0.84,0.57
66,67,Ramon Sessions,CLE,81,2133,1075,362,776,46.6,3,15,20.0,348,423,82.3,46,209,255,419,60,8,178,93,1150,2.35,0.34
67,68,Rudy Gay,MEM,54,2152,1069,409,869,47.1,57,144,39.6,194,241,80.5,82,254,336,153,91,58,135,131,1065,1.13,0.67
68,69,Grant Hill,PHX,80,2409,1056,399,825,48.4,45,114,39.5,213,257,82.9,77,261,338,200,64,35,134,184,1089,1.49,0.48
69,69,Kevin Garnett,BOS,71,2220,1056,434,822,52.8,1,5,20.0,187,217,86.2,83,548,631,171,95,57,115,148,1477,1.49,0.83
70,71,Thaddeus Young,PHI,82,2135,1045,458,847,54.1,6,22,27.3,123,174,70.7,153,281,434,82,90,26,99,170,1138,0.83,0.91
71,72,Darren Collison,IND,79,2360,1039,398,870,45.7,41,124,33.1,202,232,87.1,40,185,225,403,87,14,194,109,1072,2.08,0.45
72,73,Carlos Boozer,CHI,59,1882,1033,431,845,51.0,0,0,0.0,171,244,70.1,130,435,565,145,45,18,149,186,1170,0.97,0.3
73,74,Andre Miller,POR,81,2650,1029,388,844,46.0,4,37,10.8,249,292,85.3,97,205,302,566,114,12,197,171,1327,2.87,0.58
74,75,Lou Williams,PHI,75,1747,1027,323,795,40.6,88,253,34.8,293,356,82.3,32,117,149,252,47,17,102,128,855,2.47,0.46
75,76,Roy Hibbert,IND,81,2244,1025,410,890,46.1,0,4,0.0,205,275,74.5,182,428,610,166,33,142,185,256,1241,0.9,0.18
76,77,John Salmons,MIL,73,2554,1024,373,898,41.5,83,219,37.9,195,240,81.3,27,239,266,252,72,28,137,157,935,1.84,0.53
77,78,Tim Duncan,SAS,76,2156,1022,419,838,50.0,0,4,0.0,184,257,71.6,169,509,678,203,50,146,122,119,1485,1.66,0.41
78,78,Vince Carter,PHX,73,2052,1022,389,891,43.7,116,321,36.1,128,173,74.0,54,221,275,146,67,20,90,193,893,1.62,0.74
79,80,Brandon Jennings,MIL,63,2169,1019,361,926,39.0,98,303,32.3,199,246,80.9,42,192,234,305,95,21,146,131,916,2.09,0.65
80,81,Tyreke Evans,SAC,57,2107,1012,382,933,40.9,43,148,29.1,205,266,77.1,46,229,275,319,85,30,184,143,925,1.73,0.46
81,82,Kyle Lowry,HOU,75,2563,1011,345,809,42.6,129,343,37.6,192,251,76.5,89,220,309,500,102,23,158,207,1264,3.17,0.65
82,83,Antawn Jamison,CLE,56,1842,1010,374,876,42.7,91,263,34.6,171,234,73.1,86,289,375,93,50,30,77,137,916,1.21,0.65
83,84,CJ Miles,UTA,78,1969,1000,366,899,40.7,109,339,32.2,159,196,81.1,54,201,255,135,74,38,93,221,839,1.45,0.8
84,85,Shawn Marion,DAL,80,2253,999,434,834,52.0,5,33,15.2,126,164,76.8,168,383,551,110,68,50,130,144,1210,0.85,0.52
85,86,James Harden,OKC,82,2189,998,298,684,43.6,113,324,34.9,289,343,84.3,42,213,255,176,92,24,106,207,999,1.66,0.87
86,86,Jeff Green,BOS,75,2428,998,368,820,44.9,64,211,30.3,198,244,81.1,73,287,360,108,53,37,99,210,959,1.09,0.54
87,88,Jameer Nelson,ORL,76,2319,997,374,838,44.6,119,297,40.1,130,162,80.2,37,189,226,456,75,3,194,209,1067,2.35,0.39
88,89,Nicolas Batum,POR,80,2522,990,367,807,45.5,118,342,34.5,138,164,84.1,109,252,361,123,68,49,83,194,1042,1.48,0.82
89,90,Channing Frye,PHX,77,2541,976,358,829,43.2,171,439,39.0,89,107,83.2,65,448,513,96,46,79,73,272,1148,1.31,0.63
90,91,Danilo Gallinari,DEN,62,2104,970,265,640,41.4,103,293,35.2,337,391,86.2,59,246,305,104,51,27,83,144,945,1.25,0.61
91,92,JR Smith,DEN,79,1968,969,341,784,43.5,124,318,39.0,163,221,73.8,45,277,322,175,92,16,100,173,973,1.75,0.92
92,93,Marc Gasol,MEM,81,2586,951,364,691,52.7,3,7,42.9,220,294,74.8,154,415,569,200,74,136,146,265,1383,1.37,0.51
93,94,Andre Iguodala,PHI,67,2469,945,338,759,44.5,61,181,33.7,208,300,69.3,61,326,387,422,101,38,138,109,1242,3.06,0.73
94,95,Marcus Thornton,SAC,73,1776,933,350,807,43.4,88,240,36.7,145,184,78.8,61,197,258,135,64,9,93,110,810,1.45,0.69
95,95,Ty Lawson,DEN,80,2103,933,346,688,50.3,69,171,40.4,172,225,76.4,67,142,209,377,80,4,137,133,1071,2.75,0.58
96,97,Boris Diaw,CHA,82,2778,924,381,774,49.2,78,226,34.5,84,123,68.3,105,309,414,337,74,46,166,190,1197,2.03,0.45
97,98,Ben Gordon,DET,82,2131,921,339,770,44.0,107,266,40.2,136,160,85.0,41,154,195,171,48,16,141,178,755,1.21,0.34
98,99,Glen Davis,BOS,78,2298,915,359,801,44.8,2,15,13.3,195,265,73.6,101,324,425,92,78,30,85,231,943,1.08,0.92
99,100,Carl Landry,NOH,76,2008,903,345,687,50.2,0,4,0.0,213,288,74.0,165,182,347,63,40,32,109,196,859,0.58,0.37
100,101,Richard Jefferson,SAS,81,2459,891,304,642,47.4,135,307,44.0,148,195,75.9,54,256,310,107,38,34,93,164,902,1.15,0.41
101,102,George Hill,SAS,76,2148,884,287,633,45.3,77,204,37.7,233,270,86.3,24,175,199,193,66,21,99,153,881,1.95,0.67
102,103,Hedo Turkoglu,ORL,81,2540,877,322,722,44.6,127,310,41.0,106,156,67.9,45,311,356,343,72,34,132,247,1100,2.6,0.55
103,104,Arron Afflalo,DEN,69,2324,867,312,627,49.8,105,248,42.3,138,163,84.7,45,206,251,168,34,31,71,153,940,2.37,0.48
104,104,Jared Dudley,PHX,82,2140,867,300,629,47.7,105,253,41.5,162,218,74.3,111,207,318,108,87,20,77,139,938,1.4,1.13
105,106,Toney Douglas,NYK,81,1971,856,314,755,41.6,143,383,37.3,85,107,79.4,65,179,244,244,89,4,89,177,885,2.74,1.0
106,107,Brandon Bass,ORL,76,1980,854,332,645,51.5,0,2,0.0,190,233,81.5,134,290,424,57,27,52,97,159,961,0.59,0.28
107,108,Charlie Villanueva,DET,76,1666,840,313,708,44.2,125,323,38.7,89,116,76.7,50,245,295,48,42,42,66,175,779,0.73,0.64
108,108,Luke Ridnour,MIN,71,2159,840,319,681,46.8,81,184,44.0,121,137,88.3,37,162,199,384,89,10,158,146,986,2.43,0.56
109,110,Marco Belinelli,NOH,80,1957,836,302,691,43.7,134,324,41.4,98,125,78.4,17,134,151,92,38,6,77,146,630,1.2,0.49
110,111,Andrew Bogut,MIL,65,2297,830,367,742,49.5,0,4,0.0,96,217,44.2,199,521,720,131,47,168,125,217,1275,1.05,0.38
111,112,Trevor Ariza,NOH,75,2600,826,303,762,39.8,82,271,30.3,138,197,70.1,61,347,408,162,120,31,118,180,911,1.37,1.02
112,113,Marcin Gortat,PHX,80,2033,817,338,603,56.1,1,4,25.0,140,193,72.5,148,483,631,70,36,91,81,188,1246,0.86,0.44
113,114,Mo Williams,LAC,58,1789,812,291,730,39.9,79,244,32.4,151,177,85.3,21,132,153,380,53,10,171,150,772,2.22,0.31
114,115,Serge Ibaka,OKC,82,2216,808,335,617,54.3,0,1,0.0,138,184,75.0,214,408,622,22,31,198,71,267,1282,0.31,0.44
115,116,Corey Maggette,MIL,67,1401,805,253,559,45.3,28,78,35.9,271,325,83.4,44,197,241,84,21,5,127,175,669,0.66,0.17
116,117,O.J. Mayo,MEM,71,1869,803,304,747,40.7,96,264,36.4,99,131,75.6,35,135,170,145,73,26,99,127,643,1.47,0.74
117,118,JaVale McGee,WAS,79,2193,798,332,604,55.0,0,3,0.0,134,230,58.3,223,411,634,38,41,193,102,232,1234,0.37,0.4
118,119,Landry Fields,NYK,82,2541,797,299,602,49.7,86,219,39.3,113,147,76.9,105,416,521,155,80,17,107,114,1126,1.45,0.75
119,120,Gary Neal,SAS,80,1685,783,285,632,45.1,129,308,41.9,84,104,80.8,21,175,196,96,27,4,78,148,661,1.23,0.35
120,121,Daniel Gibson,CLE,67,1865,780,264,660,40.0,118,293,40.3,134,163,82.2,24,153,177,201,48,21,80,154,722,2.51,0.6
121,122,Richard Hamilton,DET,55,1498,777,288,671,42.9,55,144,38.2,146,172,84.9,24,102,126,171,39,4,88,95,620,1.94,0.44
122,123,Jodie Meeks,PHI,74,2062,774,242,570,42.5,138,348,39.7,152,170,89.4,21,150,171,78,63,4,60,97,684,1.3,1.05
123,124,J.J. Barea,DAL,81,1669,769,285,649,43.9,66,189,34.9,133,157,84.7,29,130,159,317,30,1,136,136,752,2.33,0.22
124,124,Leandro Barbosa,TOR,58,1395,769,294,653,45.0,72,213,33.8,109,137,79.6,14,85,99,119,50,6,84,112,572,1.42,0.59
125,126,Tyler Hansbrough,IND,70,1535,767,285,613,46.5,0,2,0.0,197,253,77.9,145,221,366,41,37,15,76,160,766,0.54,0.49
126,127,Al Harrington,DEN,73,1665,765,281,675,41.6,117,328,35.7,86,117,73.5,76,256,332,101,39,10,106,202,716,0.95,0.37
127,127,Chase Budinger,HOU,78,1738,765,279,656,42.5,89,274,32.5,118,138,85.5,52,229,281,127,41,18,67,114,768,1.9,0.61
128,129,Anthony Morrow,NJN,58,1856,764,279,620,45.0,110,260,42.3,96,107,89.7,37,135,172,68,19,7,54,135,624,1.26,0.35
129,130,Baron Davis,CLE,58,1649,760,289,693,41.7,81,239,33.9,101,131,77.1,35,121,156,391,78,28,146,143,833,2.68,0.53
130,131,Travis Outlaw,NJN,82,2358,756,274,731,37.5,76,252,30.2,132,171,77.2,54,271,325,84,34,36,71,148,668,1.18,0.48
131,132,Gilbert Arenas,ORL,70,1796,755,269,734,36.6,97,327,29.7,120,153,78.4,22,167,189,274,74,21,177,188,638,1.55,0.42
132,133,Greg Monroe,DET,80,2222,751,303,550,55.1,0,1,0.0,145,233,62.2,248,353,601,105,93,45,81,196,1179,1.3,1.15
133,134,Andrei Kirilenko,UTA,64,1999,750,253,542,46.7,36,98,36.7,208,270,77.0,100,227,327,192,81,74,117,113,956,1.64,0.69
134,135,Tyson Chandler,DAL,74,2059,748,266,407,65.4,0,0,0.0,216,295,73.2,206,486,692,32,36,80,88,240,1280,0.36,0.41
135,136,Emeka Okafor,NOH,72,2287,745,300,524,57.3,0,1,0.0,145,258,56.2,230,454,684,42,40,127,119,230,1182,0.35,0.34
136,137,Kris Humphries,NJN,74,2061,741,307,583,52.7,0,1,0.0,127,191,66.5,225,546,771,84,33,80,103,168,1266,0.82,0.32
137,138,Reggie Williams,GSW,80,1626,738,268,572,46.9,102,241,42.3,100,134,74.6,45,171,216,121,28,3,57,124,711,2.12,0.49
138,139,Kirk Hinrich,ATL,72,2157,737,278,623,44.6,75,188,39.9,106,126,84.1,21,161,182,288,75,17,121,185,813,2.38,0.62
139,140,Jarrett Jack,NOH,83,1722,735,260,637,40.8,33,108,30.6,182,214,85.0,20,153,173,242,54,6,110,102,691,2.2,0.49
140,141,Darrell Arthur,MEM,80,1609,729,310,624,49.7,0,6,0.0,109,134,81.3,115,227,342,53,52,63,88,228,812,0.6,0.59
141,142,Rajon Rondo,BOS,68,2527,721,318,670,47.5,10,43,23.3,75,132,56.8,87,210,297,760,153,11,234,120,1299,3.25,0.65
142,143,Shannon Brown,LAL,82,1568,712,273,643,42.5,74,212,34.9,92,101,91.1,35,122,157,96,67,16,75,124,594,1.28,0.89
143,144,Wesley Johnson,MIN,79,2069,709,271,682,39.7,103,289,35.6,64,92,69.6,51,189,240,148,58,54,95,163,675,1.56,0.61
144,145,Jordan Farmar,NJN,73,1796,701,255,651,39.2,109,304,35.9,82,100,82.0,24,149,173,368,62,6,139,128,757,2.65,0.45
145,146,Metta World Peace,LAL,82,2410,697,261,658,39.7,83,233,35.6,92,136,67.6,100,167,267,175,124,36,90,181,768,1.94,1.38
146,147,Amir Johnson,TOR,72,1853,688,281,495,56.8,0,1,0.0,126,160,78.8,189,272,461,81,53,88,69,263,1054,1.17,0.77
147,147,Mike Bibby,MIA,80,2284,688,248,576,43.1,153,348,44.0,39,62,62.9,17,178,195,265,50,9,101,175,755,2.62,0.49
148,149,Mike Dunleavy,IND,61,1683,682,240,520,46.2,102,254,40.2,100,125,80.0,28,248,276,105,40,30,69,107,759,1.52,0.58
149,150,Kyle Korver,CHI,82,1649,681,242,557,43.4,120,289,41.5,77,87,88.5,12,138,150,124,35,20,60,156,625,2.07,0.58
150,150,Ryan Anderson,ORL,64,1424,681,226,525,43.0,134,341,39.3,95,117,81.2,129,226,355,52,30,38,49,137,786,1.06,0.61
151,152,Marvin Williams,ATL,65,1865,676,246,537,45.8,37,110,33.6,147,174,84.5,68,245,313,88,34,23,62,104,754,1.42,0.55
152,153,DeJuan Blair,SAS,81,1734,674,292,583,50.1,0,2,0.0,90,137,65.7,215,350,565,77,95,42,113,213,1002,0.68,0.84
153,154,Courtney Lee,HOU,81,1723,672,253,576,43.9,71,174,40.8,95,120,79.2,51,158,209,100,58,18,68,102,641,1.47,0.85
154,154,Willie Green,NOH,77,1674,672,270,609,44.3,54,155,34.8,78,100,78.0,22,139,161,74,36,13,67,143,528,1.1,0.54
155,156,Hakim Warrick,PHX,80,1416,669,228,446,51.1,1,11,9.1,212,294,72.1,88,208,296,69,32,9,79,100,696,0.87,0.41
156,156,Jose Calderon,TOR,68,2102,669,262,596,44.0,57,156,36.5,88,103,85.4,30,172,202,605,81,7,148,143,1067,4.09,0.55
157,158,Rashard Lewis,WAS,57,1825,668,252,582,43.3,87,244,35.7,77,96,80.2,71,219,290,92,52,30,87,159,696,1.06,0.6
158,158,Rudy Fernandez,POR,78,1821,668,213,575,37.0,116,361,32.1,126,146,86.3,37,135,172,193,87,14,88,134,664,2.19,0.99
159,160,Jason Thompson,SAC,75,1748,663,271,534,50.7,0,3,0.0,121,200,60.5,144,310,454,88,28,44,99,212,836,0.89,0.28
160,161,Sasha Vujacic,NJN,67,1648,656,239,595,40.2,97,262,37.0,81,96,84.4,30,156,186,132,54,5,66,136,596,2.0,0.82
161,162,Gerald Henderson,CHA,68,1661,653,259,570,45.4,7,36,19.4,128,163,78.5,49,158,207,101,50,32,64,118,633,1.58,0.78
162,163,Jerryd Bayless,TOR,71,1495,651,218,517,42.2,49,146,33.6,166,206,80.6,26,139,165,266,38,5,127,149,659,2.09,0.3
163,164,Samuel Dalembert,SAC,80,1938,644,268,567,47.3,0,2,0.0,108,148,73.0,212,445,657,67,36,116,132,225,1049,0.51,0.27
164,165,Tony Allen,MEM,72,1494,643,251,492,51.0,4,23,17.4,137,182,75.3,70,123,193,104,129,44,86,161,741,1.21,1.5
165,166,Aaron Brooks,PHX,59,1284,634,220,587,37.5,70,236,29.7,124,140,88.6,20,58,78,233,34,3,99,115,500,2.35,0.34
166,167,Jason Kidd,DAL,80,2653,630,215,596,36.1,133,391,34.0,67,77,87.0,35,316,351,655,134,29,179,119,1229,3.66,0.75
167,168,Shane Battier,MEM,82,2375,624,229,509,45.0,102,267,38.2,64,93,68.8,90,283,373,185,69,81,79,158,944,2.34,0.87
168,169,Randy Foye,LAC,63,1551,616,206,531,38.8,71,217,32.7,133,149,89.3,13,90,103,170,47,21,95,122,521,1.79,0.49
169,170,Andrew Bynum,LAL,54,1500,612,237,413,57.4,0,0,0.0,138,209,66.0,170,338,508,73,19,106,74,140,997,0.99,0.26
170,171,Omri Casspi,SAC,71,1702,610,225,546,41.2,92,247,37.2,68,101,67.3,74,233,307,74,54,13,68,115,636,1.09,0.79
171,172,Brandon Rush,IND,67,1754,607,217,515,42.1,93,223,41.7,80,106,75.5,33,184,217,62,41,35,69,107,569,0.9,0.59
172,173,Darko Milicic,MIN,69,1686,606,271,578,46.9,0,0,0.0,64,115,55.7,133,227,360,104,54,140,151,229,755,0.69,0.36
173,174,Anthony Parker,CLE,72,2091,600,220,552,39.9,86,227,37.9,74,95,77.9,33,185,218,218,67,10,80,109,680,2.73,0.84
174,175,JJ Redick,ORL,59,1513,593,197,447,44.1,87,219,39.7,112,128,87.5,6,107,113,102,29,3,53,80,521,1.93,0.55
175,176,Spencer Hawes,PHI,81,1718,584,264,568,46.5,9,37,24.3,47,88,53.4,129,336,465,121,29,71,97,201,828,1.25,0.3
176,177,Chuck Hayes,HOU,74,2079,582,244,463,52.7,0,2,0.0,94,142,66.2,219,380,599,202,79,49,86,200,1158,2.35,0.92
177,178,Nenad Krstic,BOS,71,1571,575,231,452,51.1,0,0,0.0,113,146,77.4,124,211,335,27,26,25,56,184,678,0.48,0.46
178,179,Tracy McGrady,DET,72,1686,574,227,514,44.2,30,88,34.1,90,129,69.8,49,202,251,252,66,34,102,101,749,2.47,0.65
179,180,Brandon Roy,POR,47,1310,573,209,523,40.0,38,114,33.3,117,138,84.8,28,93,121,129,37,12,55,76,482,2.35,0.67
180,181,Sam Young,MEM,78,1577,572,233,494,47.2,17,50,34.0,89,116,76.7,40,147,187,71,68,23,61,120,572,1.16,1.11
181,182,Ersan Ilyasova,MIL,60,1505,571,221,507,43.6,36,121,29.8,93,104,89.4,105,260,365,56,51,24,63,159,707,0.89,0.81
182,182,Keyon Dooling,MIL,80,1757,571,206,519,39.7,81,234,34.6,78,94,83.0,12,105,117,243,54,4,91,119,569,2.67,0.59
183,184,Taj Gibson,CHI,80,1742,569,234,502,46.6,1,8,12.5,100,148,67.6,162,296,458,58,39,106,71,203,843,0.82,0.55
184,185,DeAndre Jordan,LAC,80,2047,566,234,341,68.6,0,1,0.0,98,217,45.2,207,368,575,42,41,142,101,255,1039,0.42,0.41
