,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
0,1,Kevin Durant,OKC,78,3038,2161,711,1538,46.2,145,414,35.0,594,675,88.0,57,476,533,214,88,76,218,159,1946,0.98,0.4
1,2,LeBron James,MIA,79,3063,2111,758,1485,51.0,92,279,33.0,503,663,75.9,80,510,590,554,124,50,284,163,2258,1.95,0.44
2,3,Kobe Bryant,LAL,82,2779,2078,740,1639,45.1,115,356,32.3,483,583,82.8,83,336,419,388,99,12,243,172,1754,1.6,0.41
3,4,Derrick Rose,CHI,81,3026,2026,711,1597,44.5,128,385,33.2,476,555,85.8,81,249,330,623,85,51,278,136,1872,2.24,0.31
4,5,Amar'e Stoudemire,NYK,78,2870,1971,744,1482,50.2,10,23,43.5,473,597,79.2,198,438,636,202,71,150,250,274,1918,0.81,0.28
5,6,Carmelo Anthony,NYK,77,2751,1970,684,1503,45.5,95,251,37.8,507,605,83.8,118,445,563,221,68,46,206,224,1745,1.07,0.33
6,7,Dwyane Wade,MIA,76,2823,1941,692,1384,50.0,63,206,30.6,494,652,75.8,123,362,485,346,111,87,237,197,1883,1.46,0.47
7,8,Monta Ellis,GSW,80,3227,1929,726,1611,45.1,137,379,36.1,340,431,78.9,44,237,281,450,168,23,252,203,1623,1.79,0.67
8,9,Kevin Martin,HOU,80,2603,1876,553,1267,43.6,176,459,38.3,594,669,88.8,28,230,258,198,80,15,184,155,1454,1.08,0.43
9,10,Blake Griffin,LAC,82,3112,1845,696,1376,50.6,7,24,29.2,446,695,64.2,270,719,989,312,63,45,223,252,2102,1.4,0.28
10,11,Russell Westbrook,OKC,82,2847,1793,614,1390,44.2,34,103,33.0,531,631,84.2,121,258,379,670,155,30,316,207,1835,2.12,0.49
11,12,Dwight Howard,ORL,78,2935,1784,619,1044,59.3,0,7,0.0,546,916,59.6,309,789,1098,107,107,186,279,258,2208,0.38,0.38
