#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,James Harden,HOU,68,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,1.0,5.5,6.6,7.5,1.8,0.9,4.5,32.6
2,Bradley Beal,WAS,57,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,1.2,0.4,3.4,25.4
3,Damian Lillard,POR,66,37.5,30.0,9.5,20.4,46.3,4.1,10.2,40.1,7.0,7.8,88.8,0.5,3.8,4.3,8.0,1.1,0.3,2.9,28.9
4,Trae Young,ATL,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,1.1,0.1,4.8,26.6
5,Giannis Antetokounmpo,MIL,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,1.0,1.0,3.7,34.6
6,Luka Dončić,DAL,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,1.0,0.2,4.3,30.8
7,Russell Westbrook,HOU,57,35.9,27.2,10.6,22.5,47.2,1.0,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7.0,1.6,0.4,4.5,26.2
8,Kawhi Leonard,LAC,57,32.4,27.1,9.3,19.9,47.0,2.2,5.7,37.8,6.2,7.1,88.6,0.9,6.1,7.1,4.9,1.8,0.6,2.6,27.5
9,Devin Booker,PHX,70,35.9,26.6,9.0,18.3,48.9,2.0,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,0.7,0.3,3.8,24.6
10,Anthony Davis,LAL,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33.0,7.2,8.5,84.6,2.3,7.0,9.3,3.2,1.5,2.3,2.5,29.8
11,Zach LaVine,CHI,60,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,1.5,0.5,3.4,21.0
12,LeBron James,LAL,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,1.2,0.5,3.9,29.6
13,Donovan Mitchell,UTA,69,34.3,24.0,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,0.8,3.6,4.4,4.3,1.0,0.2,2.7,19.8
14,Brandon Ingram,NOP,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5.0,5.9,85.1,0.8,5.3,6.1,4.2,1.0,0.6,3.0,22.3
15,Jayson Tatum,BOS,66,34.3,23.4,8.4,18.6,45.0,2.9,7.1,40.3,3.8,4.7,81.2,1.0,6.0,7.0,3.0,1.4,0.9,2.3,22.3
16,D'Angelo Russell,MIN,45,32.3,23.1,8.0,18.8,42.6,3.5,9.6,36.7,3.6,4.4,80.9,0.4,3.6,3.9,6.3,1.1,0.3,3.3,19.8
17,Pascal Siakam,TOR,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4.0,5.1,79.2,1.1,6.3,7.3,3.5,1.0,0.9,2.5,21.9
18,CJ McCollum,POR,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2.0,2.6,75.7,0.7,3.6,4.2,4.4,0.8,0.6,1.8,19.2
19,DeMar DeRozan,SAS,68,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,0.6,4.9,5.5,5.6,1.0,0.3,2.4,23.9
20,Andrew Wiggins,GSW,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5.0,70.9,1.2,3.9,5.1,3.7,0.8,1.0,2.4,18.4
21,De'Aaron Fox,SAC,51,32.0,21.1,7.7,16.0,48.0,1.1,3.6,29.2,4.7,6.7,70.5,0.7,3.2,3.8,6.8,1.5,0.5,3.1,20.3
22,Khris Middleton,MIL,62,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,0.7,5.5,6.2,4.3,0.9,0.1,2.2,22.1
23,Collin Sexton,CLE,65,33.0,20.8,7.9,16.7,47.2,1.5,3.9,38.0,3.5,4.1,84.6,0.9,2.2,3.1,3.0,1.0,0.1,2.4,16.1
24,Spencer Dinwiddie,BKN,64,31.2,20.6,6.6,16.0,41.5,1.9,6.3,30.8,5.4,7.0,77.8,0.5,3.0,3.5,6.8,0.6,0.3,2.7,18.2
25,Kemba Walker,BOS,56,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,0.6,3.2,3.9,4.8,0.9,0.5,2.1,18.7
26,Kristaps Porziņģis,DAL,57,31.8,20.4,7.0,16.4,42.7,2.5,7.1,35.2,4.0,5.0,79.9,1.8,7.7,9.5,1.8,0.7,2.0,1.6,22.4
27,Jaylen Brown,BOS,57,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,1.1,5.3,6.4,2.1,1.1,0.4,2.2,18.8
28,Bojan Bogdanović,UTA,63,33.1,20.2,6.6,14.8,44.7,3.0,7.3,41.4,4.0,4.4,90.3,0.6,3.5,4.1,2.1,0.5,0.1,2.5,15.9
