#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
238,Ochai Agbaji,UTA,59,1209,467,165,386,42.7,81,228,35.5,56,69,81.2,43,78,121,67,16,15,41,99,411,1.63,0.39
239,David Roddy,MEM,70,1259,466,180,420,42.9,65,212,30.7,41,65,63.1,50,143,193,59,29,19,57,107,445,1.03,0.51
239,Pat Connaughton,MIL,61,1443,466,165,421,39.2,109,322,33.9,27,41,65.9,50,233,283,77,37,11,33,69,571,2.33,1.12
241,Trendon Watford,POR,62,1182,459,181,323,56.0,25,64,39.1,72,100,72.0,42,196,238,130,32,12,71,118,630,1.83,0.45
242,Jock Landale,PHX,69,979,456,178,337,52.8,21,84,25.0,79,105,75.2,119,161,280,68,16,30,59,126,606,1.15,0.27
243,Isaiah Jackson,IND,63,1042,455,179,318,56.3,2,14,14.3,95,146,65.1,113,169,282,51,31,93,51,154,671,1.0,0.61
244,Davion Mitchell,SAC,80,1447,450,181,399,45.4,63,197,32.0,25,31,80.6,16,89,105,185,44,15,62,112,513,2.98,0.71
244,James Wiseman,DET,45,867,450,189,339,55.8,4,20,20.0,68,97,70.1,73,194,267,30,7,27,51,108,551,0.59,0.14
246,Victor Oladipo,MIA,42,1106,449,160,403,39.7,70,212,33.0,59,79,74.7,16,112,128,146,57,12,87,99,442,1.68,0.66
247,Larry Nance Jr.,NOP,65,1381,441,186,305,61.0,14,42,33.3,55,79,69.6,106,248,354,119,56,37,42,133,822,2.83,1.33
248,Jeff Green,DEN,56,1091,437,160,328,48.8,30,104,28.8,87,117,74.4,38,106,144,69,18,17,46,99,441,1.5,0.39
249,Mitchell Robinson,NYK,59,1589,435,188,280,67.1,0,0,0.0,59,122,48.4,267,288,555,53,56,109,41,160,1012,1.29,1.37
250,Terence Davis,SAC,64,841,431,154,364,42.3,89,243,36.6,34,43,79.1,20,119,139,67,43,12,53,104,420,1.26,0.81
251,Xavier Tillman,MEM,61,1180,429,188,306,61.4,4,15,26.7,49,89,55.1,121,186,307,96,58,29,44,97,717,2.18,1.32
252,Cory Joseph,DET,62,1227,427,150,351,42.7,70,180,38.9,57,72,79.2,21,85,106,217,34,9,56,88,521,3.88,0.61
253,Kenrich Williams,OKC,53,1206,425,179,346,51.7,50,134,37.3,17,39,43.6,97,164,261,105,45,14,32,112,629,3.28,1.41
254,Jaden Hardy,DAL,48,708,420,146,333,43.8,63,156,40.4,65,79,82.3,11,78,89,65,17,7,46,64,351,1.41,0.37
255,Anthony Lamb,GSW,62,1195,415,148,314,47.1,73,199,36.7,46,60,76.7,56,159,215,96,28,20,54,134,540,1.78,0.52
255,Kevin Knox II,POR,63,952,415,152,332,45.8,65,186,34.9,46,60,76.7,34,143,177,33,24,12,50,95,417,0.66,0.48
255,Patrick Beverley,CHI,67,1817,415,144,360,40.0,80,239,33.5,47,65,72.3,44,203,247,194,63,41,60,187,666,3.23,1.05
258,Jordan Goodwin,WAS,62,1105,407,158,353,44.8,38,118,32.2,53,69,76.8,57,148,205,168,58,26,57,95,596,2.95,1.02
259,Isaiah Hartenstein,NYK,82,1628,406,175,327,53.5,8,37,21.6,48,71,67.6,209,327,536,102,53,64,66,213,920,1.54,0.8
260,Andre Drummond,CHI,67,849,399,166,274,60.6,0,3,0.0,67,125,53.6,138,306,444,33,45,27,75,117,707,0.44,0.6
261,Oshae Brissett,IND,65,1083,398,123,319,38.6,48,155,31.0,104,145,71.7,62,156,218,44,33,13,34,79,435,1.29,0.97
262,Gary Harris,ORL,48,1184,397,138,307,45.0,94,218,43.1,27,30,90.0,21,77,98,59,45,12,28,93,411,2.11,1.61
263,Jalen Johnson,ATL,70,1042,395,158,322,49.1,30,104,28.8,49,78,62.8,51,231,282,83,38,34,41,113,598,2.02,0.93
264,Cam Reddish,POR,40,990,387,139,312,44.6,45,144,31.3,64,75,85.3,18,70,88,57,39,14,47,72,354,1.21,0.83
264,Mark Williams,CHA,43,828,387,160,251,63.7,0,0,0.0,67,97,69.1,93,211,304,18,28,45,40,94,621,0.45,0.7
266,John Wall,LAC,34,755,386,138,338,40.8,33,109,30.3,77,113,68.1,14,78,92,178,27,12,80,59,379,2.23,0.34
267,Mike Muscala,BOS,63,945,383,131,292,44.9,81,207,39.1,40,52,76.9,37,166,203,50,15,24,23,98,479,2.17,0.65
268,Will Barton,TOR,56,993,379,138,364,37.9,66,180,36.7,37,47,78.7,15,122,137,112,28,13,48,56,385,2.33,0.58
269,Edmond Sumner,BKN,53,736,378,124,269,46.1,31,87,35.6,99,108,91.7,13,66,79,68,31,10,50,83,362,1.36,0.62
270,Alex Caruso,CHI,67,1575,374,130,286,45.5,55,151,36.4,59,73,80.8,42,154,196,193,98,46,77,159,660,2.51,1.27
271,Josh Christopher,HOU,64,786,372,153,329,46.5,21,89,23.6,45,60,75.0,20,51,71,73,33,15,60,59,313,1.22,0.55
271,Wenyen Gabriel,LAL,68,1024,372,155,260,59.6,10,36,27.8,52,84,61.9,116,170,286,36,26,35,46,144,572,0.78,0.56
273,Delon Wright,WAS,50,1221,369,138,291,47.4,41,119,34.5,52,60,86.7,58,122,180,194,92,17,44,59,647,4.41,2.09
274,JaMychal Green,GSW,57,797,366,136,252,54.0,42,111,37.8,52,67,77.6,72,133,205,51,25,23,52,105,487,0.98,0.48
275,Goran Dragic,MIL,58,870,365,141,335,42.1,52,145,35.9,31,45,68.9,16,65,81,151,13,4,63,65,343,2.4,0.21
276,John Konchar,MEM,72,1494,364,138,320,43.1,60,177,33.9,28,36,77.8,64,246,310,100,77,25,37,112,649,2.7,2.08
