#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
277,Nickeil Alexander-Walker,MIN,59,884,363,131,295,44.4,61,159,38.4,40,60,66.7,15,86,101,108,32,21,55,88,386,1.96,0.58
278,Chris Duarte,IND,46,897,362,123,333,36.9,55,174,31.6,61,72,84.7,19,96,115,64,25,9,41,65,313,1.56,0.61
278,Dario Šarić,OKC,57,806,362,127,277,45.8,45,115,39.1,63,76,82.9,53,154,207,74,20,7,55,99,452,1.34,0.36
280,Steven Adams,MEM,42,1133,361,157,263,59.7,0,1,0.0,47,129,36.4,214,271,485,97,36,46,79,98,758,1.23,0.46
281,Christian Braun,DEN,76,1181,360,143,289,49.5,34,96,35.4,40,64,62.5,48,133,181,59,41,17,35,101,453,1.69,1.17
282,Nassir Little,POR,54,976,359,134,303,44.2,58,158,36.7,33,46,71.7,27,114,141,50,20,20,36,66,372,1.39,0.56
283,Isaiah Livers,DET,52,1199,346,120,288,41.7,74,203,36.5,32,39,82.1,28,115,143,41,28,28,30,103,381,1.37,0.93
283,Landry Shamet,PHX,40,807,346,113,300,37.7,75,199,37.7,45,51,88.2,11,56,67,93,26,5,36,61,308,2.58,0.72
285,Lamar Stevens,CLE,62,1121,328,129,288,44.8,30,95,31.6,40,57,70.2,48,159,207,33,27,19,27,79,411,1.22,1.0
285,Simone Fontecchio,UTA,52,766,328,115,312,36.9,63,191,33.0,35,44,79.5,31,55,86,42,15,8,39,62,234,1.08,0.39
287,Mo Bamba,LAL,49,768,323,117,241,48.5,48,124,38.7,41,62,66.1,58,167,225,46,13,43,30,105,475,1.53,0.43
288,Yuta Watanabe,BKN,58,928,322,114,232,49.1,60,135,44.4,34,47,72.3,30,111,141,48,25,17,22,80,400,2.18,1.14
289,Chimezie Metu,SAC,66,689,321,129,219,58.9,9,38,23.7,54,73,74.0,47,151,198,40,22,21,32,81,461,1.25,0.69
290,Montrezl Harrell,PHI,57,681,320,125,209,59.8,0,6,0.0,70,101,69.3,67,92,159,33,17,25,35,75,404,0.94,0.49
291,Derrick Jones Jr.,CHI,64,893,319,115,230,50.0,27,80,33.8,62,84,73.8,60,93,153,34,29,37,25,86,410,1.36,1.16
292,Joe Ingles,MIL,46,1044,317,108,248,43.5,83,203,40.9,18,21,85.7,13,115,128,150,33,6,55,74,436,2.73,0.6
293,T.J. Warren,PHX,42,687,314,132,270,48.9,22,67,32.8,28,35,80.0,26,95,121,40,22,12,20,65,344,2.0,1.1
294,Ty Jerome,GSW,45,816,309,118,242,48.8,35,90,38.9,38,41,92.7,7,71,78,135,23,5,30,64,393,4.5,0.77
295,Moses Moody,GSW,63,817,302,108,227,47.6,49,135,36.3,37,53,69.8,28,77,105,51,18,7,34,54,314,1.5,0.53
295,R.J. Hampton,DET,47,750,302,102,237,43.0,41,116,35.3,57,76,75.0,18,69,87,54,27,9,42,51,283,1.29,0.64
297,Romeo Langford,SAS,43,844,297,121,259,46.7,16,61,26.2,39,56,69.6,57,57,114,50,24,13,30,67,313,1.67,0.8
297,Vlatko Čančar,DEN,60,889,297,108,227,47.6,43,115,37.4,38,41,92.7,24,104,128,80,22,14,37,84,382,2.16,0.59
299,Theo Maledon,CHA,44,854,295,102,254,40.2,28,95,29.5,63,74,85.1,14,109,123,152,37,12,59,61,397,2.58,0.63
300,Matisse Thybulle,POR,71,1200,293,110,253,43.5,54,148,36.5,19,28,67.9,40,100,140,53,83,32,24,113,425,2.21,3.46
300,Rudy Gay,UTA,56,816,293,109,287,38.0,33,130,25.4,42,49,85.7,33,130,163,57,19,18,37,68,328,1.54,0.51
302,Jeremiah Robinson-Earl,OKC,43,814,292,110,248,44.4,37,111,33.3,35,42,83.3,71,109,180,43,24,11,19,71,386,2.26,1.26
303,Ben Simmons,BKN,42,1105,291,133,235,56.6,0,2,0.0,25,57,43.9,40,223,263,256,54,24,97,139,657,2.64,0.56
304,Kris Dunn,UTA,22,568,290,116,216,53.7,17,36,47.2,41,53,77.4,9,91,100,124,25,10,35,58,402,3.54,0.71
305,Jaylin Williams,OKC,49,914,288,102,234,43.6,46,113,40.7,38,54,70.4,44,197,241,76,28,12,37,111,460,2.05,0.76
305,Robert Covington,LAC,48,779,288,102,229,44.5,54,136,39.7,30,40,75.0,31,135,166,57,38,33,32,86,413,1.78,1.19
307,Paul Reed,PHI,69,755,287,124,209,59.3,1,6,16.7,38,51,74.5,112,150,262,27,46,51,45,123,530,0.6,1.02
308,Jae'Sean Tate,HOU,31,677,283,110,229,48.0,13,46,28.3,50,69,72.5,41,77,118,84,21,7,47,106,328,1.79,0.45
309,Robert Williams III,BOS,35,824,279,127,170,74.7,0,1,0.0,25,41,61.0,104,188,292,50,22,48,34,68,598,1.47,0.65
310,Eugene Omoruyi,DET,40,645,278,101,228,44.3,25,89,28.1,51,75,68.0,43,68,111,28,28,3,34,91,263,0.82,0.82
311,Zeke Nnaji,DEN,53,728,277,110,196,56.1,17,65,26.2,40,62,64.5,65,73,138,18,17,23,31,105,334,0.58,0.55
312,Aleksej Pokusevski,OKC,34,701,276,108,249,43.4,38,104,36.5,22,35,62.9,45,114,159,64,20,43,43,58,365,1.49,0.47
313,Payton Pritchard,BOS,48,643,270,101,245,41.2,56,154,36.4,12,16,75.0,25,63,88,64,14,1,40,37,249,1.6,0.35
314,Danuel House Jr.,PHI,56,807,268,93,197,47.2,37,110,33.6,45,60,75.0,9,85,94,44,14,9,26,69,284,1.69,0.54
314,Duncan Robinson,MIA,42,690,268,88,237,37.1,63,192,32.8,29,32,90.6,8,61,69,46,14,0,28,77,217,1.64,0.5
316,MarJon Beauchamp,MIL,52,701,266,96,243,39.5,47,142,33.1,27,37,73.0,38,77,115,35,21,7,45,71,242,0.78,0.47
316,P.J. Tucker,PHI,75,1920,266,96,225,42.7,55,140,39.3,19,23,82.6,95,200,295,60,39,15,44,180,498,1.36,0.89
318,Bismack Biyombo,PHX,61,874,263,119,206,57.8,0,0,0.0,25,70,35.7,89,171,260,56,18,88,51,114,502,1.1,0.35
318,Sandro Mamukelashvili,SAS,43,660,263,97,230,42.2,30,99,30.3,39,57,68.4,70,115,185,62,14,12,35,52,350,1.77,0.4
320,JT Thor,CHA,69,969,262,95,238,39.9,39,123,31.7,33,47,70.2,36,116,152,36,22,23,44,66,294,0.82,0.5
320,Willy Hernangomez,NOP,38,458,262,89,169,52.7,3,11,27.3,81,104,77.9,58,122,180,33,17,13,39,64,363,0.85,0.44
322,Luke Kornet,BOS,69,804,261,113,170,66.5,3,13,23.1,32,39,82.1,86,111,197,53,11,46,25,81,479,2.12,0.44
323,Garrison Mathews,ATL,54,686,257,73,201,36.3,63,180,35.0,48,53,90.6,11,62,73,26,24,5,19,62,233,1.37,1.26
324,Austin Rivers,MIN,52,1016,255,91,209,43.5,43,123,35.0,30,39,76.9,5,78,83,75,28,4,23,80,295,3.26,1.22
325,Ish Wainright,PHX,60,915,251,84,227,37.0,57,173,32.9,26,31,83.9,45,94,139,53,38,22,22,117,333,2.41,1.73
326,Aaron Holiday,ATL,63,845,247,92,220,41.8,36,88,40.9,27,32,84.4,25,49,74,89,37,12,36,79,290,2.47,1.03
327,Bryce McGowens,CHA,46,787,246,80,202,39.6,26,80,32.5,60,80,75.0,20,73,93,54,15,6,43,48,229,1.26,0.35
327,Malachi Flynn,TOR,53,691,246,87,242,36.0,47,133,35.3,25,33,75.8,15,61,76,70,21,4,25,65,229,2.8,0.84
327,Patty Mills,BKN,40,567,246,86,209,41.1,49,134,36.6,25,30,83.3,8,36,44,56,15,3,30,32,206,1.87,0.5
330,Duane Washington Jr.,NYK,31,394,244,94,256,36.7,40,111,36.0,16,24,66.7,2,34,36,63,6,4,34,23,149,1.85,0.18
331,Thaddeus Young,TOR,54,795,240,108,198,54.5,6,34,17.6,18,26,69.2,71,95,166,75,54,5,42,88,400,1.79,1.29
332,Cade Cunningham,DET,12,400,239,93,224,41.5,17,61,27.9,36,43,83.7,12,62,74,72,10,7,39,34,225,1.85,0.26
333,Haywood Highsmith,MIA,54,969,236,93,216,43.1,37,109,33.9,13,28,46.4,57,131,188,43,36,17,45,82,337,0.96,0.8
334,Jaxson Hayes,NOP,47,610,233,86,156,55.1,3,29,10.3,58,83,69.9,39,93,132,34,20,19,31,67,312,1.1,0.65
335,George Hill,IND,46,833,232,78,166,47.0,34,95,35.8,42,55,76.4,15,70,85,110,26,6,34,55,324,3.23,0.77
336,Day'Ron Sharpe,BKN,48,553,227,93,171,54.4,6,11,54.5,35,55,63.6,99,101,200,37,15,32,42,89,371,0.88,0.36
336,Dyson Daniels,NOP,59,1042,227,87,208,41.8,27,86,31.4,26,40,65.0,36,152,188,134,43,11,57,99,411,2.35,0.75
338,Daishen Nix,HOU,57,914,226,81,237,34.2,40,140,28.6,24,36,66.7,18,80,98,132,31,7,86,59,240,1.53,0.36
339,Usman Garuba,HOU,75,970,225,86,177,48.6,24,59,40.7,29,47,61.7,120,187,307,64,44,29,47,135,513,1.36,0.94
340,Darius Bazley,PHX,43,616,224,83,183,45.4,20,53,37.7,38,70,54.3,34,104,138,38,22,34,27,44,297,1.41,0.81
341,Miles McBride,NYK,64,760,222,77,215,35.8,40,134,29.9,28,42,66.7,13,37,50,72,37,8,25,60,212,2.88,1.48
341,Svi Mykhailiuk,CHA,32,468,222,77,173,44.5,42,99,42.4,26,39,66.7,15,38,53,53,15,4,24,23,214,2.21,0.63
343,Maxi Kleber,DAL,37,930,220,77,169,45.6,39,112,34.8,27,38,71.1,30,105,135,52,12,30,27,85,319,1.93,0.44
344,Jabari Walker,POR,56,619,216,83,198,41.9,16,56,28.6,34,45,75.6,48,83,131,34,10,13,29,69,249,1.17,0.34
345,Lindy Waters III,OKC,41,531,214,70,178,39.3,58,162,35.8,16,20,80.0,16,59,75,28,14,11,10,42,220,2.8,1.4
346,Ziaire Williams,MEM,37,561,210,84,196,42.9,25,97,25.8,17,22,77.3,16,63,79,35,14,6,37,58,190,0.95,0.38
347,Davis Bertans,DAL,45,492,206,69,160,43.1,55,141,39.0,13,15,86.7,10,43,53,21,11,8,10,53,196,2.1,1.1
347,Dean Wade,CLE,44,892,206,73,177,41.2,45,127,35.4,15,23,65.2,20,130,150,37,28,21,17,89,313,2.18,1.65
349,Justin Holiday,DAL,46,706,205,77,204,37.7,46,143,32.2,5,8,62.5,5,50,55,41,19,19,22,68,187,1.86,0.86
350,Charles Bassey,SAS,35,508,199,87,135,64.4,3,8,37.5,22,37,59.5,75,118,193,48,16,33,41,74,385,1.17,0.39
350,DeAndre Jordan,DEN,39,586,199,88,115,76.5,1,1,100.0,22,48,45.8,52,150,202,34,12,23,48,71,369,0.71,0.25
350,Dewayne Dedmon,PHI,38,426,199,77,151,51.0,12,39,30.8,33,49,67.3,34,100,134,26,9,19,25,75,272,1.04,0.36
353,Justise Winslow,POR,29,776,196,81,198,40.9,14,45,31.1,20,28,71.4,49,96,145,98,30,11,43,89,312,2.28,0.7
354,Anthony Gill,WAS,59,625,195,71,132,53.8,4,29,13.8,49,67,73.1,37,62,99,34,7,12,15,70,253,2.27,0.47
355,Caleb Houstan,ORL,51,812,193,66,182,36.3,46,136,33.8,15,18,83.3,34,65,99,30,12,7,18,63,204,1.67,0.67
355,Ousmane Dieng,OKC,39,569,193,76,181,42.0,26,98,26.5,15,23,65.2,19,86,105,46,14,7,26,42,226,1.77,0.54
357,James Bouknight,CHA,34,515,191,69,193,35.8,33,109,30.3,20,30,66.7,8,64,72,41,14,5,32,49,157,1.28,0.44
358,Keon Johnson,POR,40,416,189,67,178,37.6,28,81,34.6,27,41,65.9,11,33,44,59,19,6,43,43,149,1.37,0.44
359,JaVale McGee,DAL,42,355,186,80,125,64.0,2,5,40.0,24,41,58.5,30,77,107,11,4,26,36,54,236,0.31,0.11
360,Blake Wesley,SAS,37,669,184,69,215,32.1,20,52,38.5,26,44,59.1,12,70,82,98,25,5,65,67,165,1.51,0.39
361,Rodney McGruder,DET,32,524,183,62,152,40.8,41,97,42.3,18,22,81.8,20,54,74,28,16,1,11,39,197,2.54,1.46
362,Christian Koloko,TOR,58,802,182,72,150,48.0,1,12,8.3,37,59,62.7,84,87,171,31,21,57,20,128,342,1.55,1.05
363,Luka Garza,MIN,28,243,181,63,116,54.3,14,39,35.9,41,52,78.8,33,30,63,18,3,2,14,43,189,1.29,0.21
364,Wesley Matthews,MIL,52,820,179,58,160,36.3,39,124,31.5,24,28,85.7,34,79,113,34,20,13,18,71,235,1.89,1.11
365,Jericho Sims,NYK,52,812,178,83,107,77.6,0,1,0.0,12,16,75.0,99,143,242,25,15,28,27,96,433,0.93,0.56
366,Stanley Johnson,SAS,30,470,174,65,122,53.3,18,40,45.0,26,39,66.7,22,73,95,67,16,6,33,48,255,2.03,0.48
367,Amir Coffey,LAC,50,625,172,56,145,38.6,11,40,27.5,49,63,77.8,17,36,53,53,7,5,21,50,166,2.52,0.33
367,Isaiah Roby,NYK,42,474,172,67,155,43.2,18,60,30.0,20,41,48.8,21,86,107,38,18,7,31,53,202,1.23,0.58
369,Ricky Rubio,CLE,33,566,171,61,178,34.3,21,82,25.6,28,35,80.0,9,61,70,115,26,6,31,51,233,3.71,0.84
370,Blake Griffin,BOS,41,569,170,63,130,48.5,23,66,34.8,21,32,65.6,47,108,155,61,14,9,22,75,309,2.77,0.64
371,Taj Gibson,WAS,49,480,168,65,125,52.0,8,24,33.3,30,42,71.4,32,61,93,34,15,12,26,84,224,1.31,0.58
372,Goga Bitadze,ORL,38,457,167,69,125,55.2,6,26,23.1,23,42,54.8,61,76,137,39,16,26,22,64,288,1.77,0.73
373,Evan Fournier,NYK,27,459,165,56,166,33.7,35,114,30.7,18,21,85.7,4,45,49,36,16,3,22,46,134,1.64,0.73
373,Javonte Green,CHI,32,480,165,61,108,56.5,13,35,37.1,30,45,66.7,27,61,88,23,24,21,20,52,239,1.15,1.2
373,Julian Champagnie,SAS,17,320,165,59,130,45.4,33,82,40.2,14,17,82.4,10,50,60,10,6,5,11,26,161,0.91,0.55
376,Johnny Davis,WAS,28,423,163,66,171,38.6,17,70,24.3,14,27,51.9,10,55,65,28,10,8,17,48,139,1.65,0.59
377,Jordan McLaughlin,MIN,43,679,161,61,145,42.1,24,78,30.8,15,18,83.3,15,47,62,148,32,4,33,28,287,4.49,0.97
378,Kai Jones,CHA,46,550,157,67,120,55.8,4,19,21.1,19,26,73.1,37,86,123,15,17,30,31,65,251,0.48,0.55
378,Raul Neto,CLE,48,505,157,57,110,51.8,12,42,28.6,31,34,91.2,10,36,46,79,17,4,24,49,223,3.29,0.71
380,Admiral Schofield,ORL,37,451,155,55,122,45.1,24,74,32.4,21,23,91.3,23,39,62,31,8,5,16,61,176,1.94,0.5
380,Juan Toscano-Anderson,UTA,52,700,155,64,143,44.8,8,43,18.6,19,24,79.2,28,96,124,65,16,10,34,80,252,1.91,0.47
380,Moses Brown,BKN,36,294,155,61,96,63.5,0,0,0.0,33,72,45.8,57,82,139,4,4,14,15,39,227,0.27,0.27
383,AJ Green,MIL,35,345,154,53,125,42.4,44,105,41.9,4,4,100.0,6,39,45,22,6,0,9,31,146,2.44,0.67
384,Bruno Fernando,ATL,39,405,153,59,112,52.7,0,4,0.0,35,50,70.0,54,83,137,31,6,34,25,74,268,1.24,0.24
385,Derrick Rose,NYK,27,338,152,61,159,38.4,19,63,30.2,11,12,91.7,8,32,40,46,7,5,22,18,129,2.09,0.32
386,Saben Lee,PHX,25,374,151,49,121,40.5,11,30,36.7,42,57,73.7,13,32,45,67,19,1,24,32,172,2.79,0.79
387,TyTy Washington Jr.,HOU,31,433,145,58,160,36.3,19,80,23.8,10,18,55.6,2,43,45,47,15,2,14,29,130,3.36,1.07
388,Brandon Boston Jr.,LAC,22,248,143,51,122,41.8,12,29,41.4,29,38,76.3,7,23,30,20,9,0,12,21,110,1.67,0.75
389,Dalano Banton,TOR,31,279,142,55,130,42.3,15,51,29.4,17,24,70.8,11,34,45,36,13,13,18,34,149,2.0,0.72
389,Damian Jones,UTA,41,477,142,55,86,64.0,10,17,58.8,22,29,75.9,42,80,122,15,8,21,23,55,247,0.65,0.35
391,Kevon Harris,ORL,34,457,141,47,107,43.9,16,43,37.2,31,41,75.6,28,42,70,16,17,5,21,53,158,0.76,0.81
392,Furkan Korkmaz,PHI,37,353,140,48,111,43.2,18,46,39.1,26,36,72.2,6,36,42,22,10,3,24,18,120,0.92,0.42
393,Nathan Knight,MIN,38,291,139,46,81,56.8,8,22,36.4,39,57,68.4,22,34,56,13,10,6,21,41,150,0.62,0.48
394,Frank Ntilikina,DAL,47,608,135,48,132,36.4,17,67,25.4,22,33,66.7,7,55,62,58,16,7,29,65,154,2.0,0.55
395,Markieff Morris,DAL,35,355,132,47,115,40.9,28,71,39.4,10,10,100.0,13,58,71,31,9,5,18,48,162,1.72,0.5
396,Richaun Holmes,SAC,42,348,130,55,89,61.8,5,8,62.5,15,19,78.9,29,51,80,9,3,11,14,50,181,0.64,0.21
397,Chuma Okeke,ORL,27,518,128,43,122,35.2,26,86,30.2,16,21,76.2,26,70,96,37,19,11,17,40,190,2.18,1.12
397,Max Christie,LAL,41,512,128,44,106,41.5,26,62,41.9,14,16,87.5,7,68,75,21,9,7,13,33,163,1.61,0.69
399,Udoka Azubuike,UTA,36,359,125,59,72,81.9,0,0,0.0,7,20,35.0,31,88,119,11,6,15,18,34,232,0.61,0.33
400,Jae Crowder,MIL,18,340,124,45,94,47.9,24,55,43.6,10,12,83.3,17,52,69,27,12,6,7,27,180,3.86,1.71
401,Juancho Hernangomez,TOR,42,614,122,48,114,42.1,17,67,25.4,9,16,56.3,27,96,123,25,16,6,15,43,204,1.67,1.07
401,Matt Ryan,MIN,34,310,122,40,108,37.0,32,84,38.1,10,12,83.3,4,22,26,16,5,1,7,27,93,2.29,0.71
401,Patrick Baldwin Jr.,GSW,31,226,122,43,109,39.4,32,84,38.1,4,6,66.7,1,39,40,11,6,4,11,14,104,1.0,0.55
404,Gorgui Dieng,SAS,31,358,121,45,117,38.5,21,75,28.0,10,13,76.9,27,80,107,53,4,14,32,57,192,1.66,0.13
405,Kenneth Lofton Jr.,MEM,24,176,120,49,93,52.7,6,17,35.3,16,27,59.3,19,32,51,20,5,2,12,28,131,1.67,0.42
406,Orlando Robinson,MIA,31,425,116,47,89,52.8,0,6,0.0,22,31,71.0,48,78,126,25,12,12,16,53,224,1.56,0.75
407,Kira Lewis Jr.,NOP,25,235,114,40,88,45.5,15,34,44.1,19,22,86.4,5,28,33,23,10,2,10,24,121,2.3,1.0
407,McKinley Wright IV,DAL,27,335,114,46,98,46.9,9,28,32.1,13,19,68.4,9,38,47,58,8,5,19,24,155,3.05,0.42
409,Robin Lopez,CLE,37,299,112,48,75,64.0,2,4,50.0,14,18,77.8,23,28,51,19,2,8,25,43,136,0.76,0.08
410,Dominick Barlow,SAS,28,408,110,46,86,53.5,0,4,0.0,18,25,72.0,46,56,102,24,10,19,15,56,203,1.6,0.67
411,Ish Smith,DEN,43,398,108,52,131,39.7,2,12,16.7,2,4,50.0,5,49,54,100,8,7,44,33,152,2.27,0.18
412,Jake LaRavia,MEM,35,414,105,37,95,38.9,24,71,33.8,7,9,77.8,19,44,63,21,12,4,18,49,127,1.17,0.67
413,Boban Marjanović,HOU,31,171,102,41,60,68.3,0,1,0.0,20,27,74.1,20,40,60,9,5,2,14,10,138,0.64,0.36
414,Gary Payton II,GSW,22,368,101,41,69,59.4,13,26,50.0,6,7,85.7,24,45,69,30,22,5,16,43,182,1.88,1.38
415,Kessler Edwards,SAC,36,386,100,36,93,38.7,17,55,30.9,11,15,73.3,23,38,61,23,14,6,13,40,130,1.77,1.08
416,Cody Zeller,MIA,15,217,98,37,59,62.7,0,2,0.0,24,35,68.6,25,39,64,10,3,4,14,33,132,0.71,0.21
416,Jamal Cain,MIA,18,240,98,37,66,56.1,7,20,35.0,17,22,77.3,15,37,52,12,11,1,6,21,134,2.0,1.83
418,Theo Pinson,DAL,40,323,95,31,87,35.6,22,62,35.5,11,13,84.6,10,53,63,46,6,1,12,34,141,3.83,0.5
419,Skylar Mays,POR,6,189,92,34,68,50.0,12,26,46.2,12,13,92.3,2,17,19,50,6,1,10,11,123,5.0,0.6
420,Bryn Forbes,MIN,25,268,89,30,83,36.1,14,46,30.4,15,15,100.0,4,11,15,17,7,2,12,22,65,1.42,0.58
420,Davon Reed,LAL,43,343,89,28,84,33.3,17,46,37.0,16,24,66.7,10,49,59,23,15,4,20,39,106,1.15,0.75
420,Frank Kaminsky,HOU,36,235,89,31,63,49.2,13,33,39.4,14,16,87.5,7,45,52,32,6,4,9,22,140,3.56,0.67
420,Terry Taylor,CHI,31,263,89,39,75,52.0,5,19,26.3,6,11,54.5,27,20,47,10,3,6,9,26,105,1.11,0.33
424,Johnny Juzang,UTA,18,232,87,35,104,33.7,15,63,23.8,2,4,50.0,8,31,39,8,4,3,3,13,67,2.67,1.33
425,Dalen Terry,CHI,38,214,85,32,72,44.4,7,27,25.9,14,21,66.7,12,25,37,22,11,5,8,24,105,2.75,1.38
425,David Duke Jr.,BKN,23,228,85,36,78,46.2,1,12,8.3,12,17,70.6,11,18,29,21,10,1,18,31,81,1.17,0.56
427,Nikola Jović,MIA,15,204,82,28,69,40.6,8,35,22.9,18,19,94.7,9,22,31,10,7,2,10,19,80,1.0,0.7
428,Kennedy Chandler,MEM,36,282,78,35,83,42.2,2,15,13.3,6,13,46.2,9,29,38,58,12,5,18,15,118,3.22,0.67
429,Peyton Watson,DEN,23,186,75,29,59,49.2,6,14,42.9,11,20,55.0,8,29,37,11,2,11,8,14,89,1.38,0.25
430,Kemba Walker,DAL,9,144,72,24,57,42.1,7,28,25.0,17,21,81.0,3,13,16,19,2,2,4,11,70,4.75,0.5
431,Luka Samanic,UTA,7,161,69,26,57,45.6,8,31,25.8,9,13,69.2,0,30,30,15,6,2,10,17,77,1.5,0.6
432,Serge Ibaka,MIL,16,185,66,26,54,48.1,6,18,33.3,8,13,61.5,15,29,44,4,2,7,11,23,79,0.36,0.18
433,Danny Green,CLE,11,139,61,22,49,44.9,16,37,43.2,1,1,100.0,3,11,14,6,6,3,10,16,53,0.6,0.6
433,Jeff Dowtin Jr.,TOR,25,259,61,25,57,43.9,5,16,31.3,6,9,66.7,6,17,23,31,9,3,5,13,87,6.2,1.8
435,Moussa Diabate,LAC,22,195,59,24,47,51.1,1,2,50.0,10,16,62.5,31,19,50,4,7,8,9,15,90,0.44,0.78
436,Mamadi Diakite,CLE,22,176,57,24,50,48.0,7,21,33.3,2,2,100.0,8,22,30,8,4,9,12,26,70,0.67,0.33
437,A.J. Lawson,DAL,15,108,56,22,44,50.0,10,25,40.0,2,8,25.0,6,15,21,2,2,0,3,11,50,0.67,0.67
437,Quenton Jackson,WAS,9,135,56,19,42,45.2,1,12,8.3,17,22,77.3,2,6,8,15,4,1,4,10,52,3.75,1.0
439,Jonathan Isaac,ORL,11,124,55,22,53,41.5,6,15,40.0,5,9,55.6,15,29,44,6,14,4,4,5,84,1.5,3.5
440,Nate Williams,POR,5,127,53,24,39,61.5,3,8,37.5,2,3,66.7,10,5,15,10,3,2,4,13,63,2.5,0.75
441,Trent Forrest,ATL,23,277,52,25,60,41.7,0,2,0.0,2,3,66.7,5,32,37,38,7,2,15,17,85,2.53,0.47
442,James Johnson,IND,18,162,51,22,49,44.9,3,15,20.0,4,8,50.0,4,26,30,15,7,6,8,32,70,1.88,0.88
442,Jay Huff,WAS,7,95,51,15,25,60.0,6,12,50.0,15,16,93.8,6,15,21,10,3,4,5,15,73,2.0,0.6
442,Thanasis Antetokounmpo,MIL,37,206,51,20,46,43.5,0,8,0.0,11,22,50.0,15,29,44,15,3,3,12,22,67,1.25,0.25
445,Garrett Temple,NOP,25,162,50,18,45,40.0,11,26,42.3,3,4,75.0,5,12,17,13,9,2,4,15,59,3.25,2.25
445,Lindell Wigginton,MIL,7,87,50,18,37,48.6,6,18,33.3,8,9,88.9,0,7,7,14,0,2,12,7,41,1.17,0.0
447,Daniel Theis,IND,7,109,49,21,44,47.7,2,11,18.2,5,12,41.7,7,15,22,9,2,6,3,7,55,3.0,0.67
448,Matthew Dellavedova,SAC,32,213,47,17,50,34.0,9,27,33.3,4,7,57.1,1,12,13,41,7,0,10,20,62,4.1,0.7
449,Josh Minott,MIN,15,96,46,18,36,50.0,2,6,33.3,8,8,100.0,5,20,25,5,4,6,3,10,65,1.67,1.33
449,KZ Okpala,SAC,35,248,46,16,38,42.1,7,21,33.3,7,8,87.5,7,27,34,13,7,7,7,39,77,1.86,1.0
451,Jared Rhoden,DET,14,198,45,17,44,38.6,5,20,25.0,6,6,100.0,11,26,37,4,4,1,3,23,61,1.33,1.33
451,John Butler Jr.,POR,19,221,45,17,53,32.1,8,35,22.9,3,4,75.0,3,14,17,11,7,9,1,22,51,11.0,7.0
453,Dru Smith,BKN,15,158,44,18,45,40.0,5,19,26.3,3,3,100.0,2,22,24,22,10,4,3,23,74,7.33,3.33
453,Jarrett Culver,ATL,10,137,44,17,43,39.5,1,12,8.3,9,13,69.2,10,28,38,6,6,2,7,14,59,0.86,0.86
453,Otto Porter Jr.,TOR,8,146,44,15,30,50.0,6,17,35.3,8,8,100.0,6,13,19,8,11,0,4,7,63,2.0,2.75
453,Shaquille Harrison,LAL,5,120,44,15,36,41.7,3,10,30.0,11,15,73.3,1,21,22,30,11,2,6,12,78,5.0,1.83
457,Alex Len,SAC,26,161,43,16,30,53.3,0,2,0.0,11,16,68.8,24,36,60,12,4,11,16,28,95,0.75,0.25
457,Khem Birch,SAS,20,162,43,19,32,59.4,1,2,50.0,4,5,80.0,8,17,25,7,5,5,8,24,63,0.88,0.63
457,Meyers Leonard,MIL,9,114,43,14,29,48.3,7,18,38.9,8,9,88.9,12,22,34,1,2,0,6,16,58,0.17,0.33
460,Jaden Springer,PHI,16,89,42,17,35,48.6,2,5,40.0,6,8,75.0,6,8,14,8,7,3,3,15,51,2.67,2.33
460,Wendell Moore Jr.,MIN,29,153,42,18,43,41.9,2,17,11.8,4,5,80.0,4,14,18,18,8,5,8,13,57,2.25,1.0
462,Jason Preston,LAC,14,124,41,18,41,43.9,5,18,27.8,0,2,0.0,2,20,22,27,2,0,10,7,57,2.7,0.2
463,Omer Yurtseven,MIA,9,83,40,16,27,59.3,3,7,42.9,5,6,83.3,8,15,23,2,2,2,4,16,53,0.5,0.5
464,Xavier Cooks,WAS,10,126,38,17,28,60.7,0,1,0.0,4,10,40.0,16,22,38,6,6,4,8,13,67,0.75,0.75
465,Jared Butler,OKC,6,77,37,15,32,46.9,7,14,50.0,0,0,0.0,1,3,4,8,5,0,5,5,32,1.6,1.0
466,Olivier Sarr,OKC,9,114,36,15,30,50.0,1,8,12.5,5,7,71.4,12,19,31,4,1,5,4,17,56,1.0,0.25
466,Vít Krejčí,ATL,29,165,36,15,37,40.5,5,21,23.8,1,2,50.0,6,20,26,17,5,1,5,17,57,3.4,1.0
468,Cody Martin,CHA,7,134,35,14,36,38.9,3,14,21.4,4,7,57.1,8,16,24,11,4,1,2,13,48,5.5,2.0
468,Nerlens Noel,BKN,17,195,35,13,36,36.1,1,2,50.0,8,12,66.7,10,36,46,10,16,10,13,32,77,0.77,1.23
470,Isaiah Mobley,CLE,12,84,31,12,28,42.9,3,8,37.5,4,4,100.0,4,16,20,3,4,3,1,8,44,3.0,4.0
471,Vince Williams Jr.,MEM,15,105,30,12,40,30.0,4,28,14.3,2,2,100.0,4,11,15,4,6,2,5,12,24,0.8,1.2
472,Greg Brown III,POR,16,93,28,11,28,39.3,1,7,14.3,5,12,41.7,2,17,19,3,4,5,6,13,29,0.5,0.67
