,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
0,1,Kevin Durant,OKC,66,2546,1850,643,1297,49.6,133,344,38.7,431,501,86.0,40,487,527,231,88,77,248,133,1801,0.93,0.35
1,2,LeBron James,MIA,62,2326,1683,621,1169,53.1,54,149,36.2,387,502,77.1,94,398,492,387,115,50,213,96,1851,1.82,0.54
2,3,Kobe Bryant,LAL,58,2232,1616,574,1336,43.0,87,287,30.3,381,451,84.5,66,247,313,264,69,18,204,105,1244,1.29,0.34
3,4,Russell Westbrook,OKC,66,2331,1558,578,1266,45.7,62,196,31.6,340,413,82.3,96,205,301,362,112,21,239,147,1354,1.51,0.47
4,5,Kevin Love,MIN,55,2145,1432,474,1059,44.8,105,282,37.2,379,460,82.4,226,508,734,111,47,28,128,152,1558,0.87,0.37
5,6,Blake Griffin,LAC,66,2392,1368,561,1022,54.9,2,16,12.5,244,468,52.1,218,499,717,210,54,48,150,216,1562,1.4,0.36
6,7,Dirk Nowitzki,DAL,62,2079,1342,473,1034,45.7,78,212,36.8,318,355,89.6,46,372,418,136,42,30,117,129,1253,1.16,0.36
7,8,Brandon Jennings,MIL,66,2331,1260,469,1121,41.8,129,388,33.2,193,239,80.8,49,177,226,365,104,22,146,114,1133,2.5,0.71
8,9,Carmelo Anthony,NYK,55,1876,1245,441,1025,43.0,68,203,33.5,295,367,80.4,88,256,344,200,62,24,144,156,1075,1.39,0.43
9,10,Josh Smith,ATL,66,2329,1239,504,1101,45.8,28,109,25.7,203,322,63.0,136,496,632,257,93,115,164,172,1456,1.57,0.57
10,11,Rudy Gay,MEM,65,2422,1232,485,1067,45.5,54,173,31.2,208,263,79.1,130,287,417,147,95,55,161,138,1148,0.91,0.59
11,12,LaMarcus Aldridge,POR,55,1994,1191,483,943,51.2,2,11,18.2,223,274,81.4,150,292,442,134,51,45,111,153,1241,1.21,0.46
12,13,Chris Paul,LAC,60,2181,1189,425,890,47.8,79,213,37.1,260,302,86.1,42,171,213,543,152,4,124,138,1470,4.38,1.23
13,14,Monta Ellis,MIL,58,2120,1181,450,1040,43.3,62,201,30.8,219,275,79.6,20,180,200,346,85,18,177,136,1007,1.96,0.48
14,14,Paul Pierce,BOS,61,2075,1181,394,890,44.3,100,273,36.6,293,344,85.2,37,280,317,274,70,26,173,147,1148,1.58,0.41
15,16,Al Jefferson,UTA,61,2075,1170,516,1048,49.2,1,4,25.0,137,177,77.4,133,452,585,134,47,101,62,155,1403,2.16,0.76
