,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
16,17,DeMarcus Cousins,SAC,64,1950,1160,448,999,44.8,2,14,14.3,262,373,70.2,265,438,703,102,93,75,170,257,1301,0.6,0.55
17,18,Danny Granger,IND,62,2062,1159,391,941,41.6,123,323,38.1,254,291,87.3,79,228,307,109,62,40,110,144,980,0.99,0.56
18,19,Deron Williams,NJN,55,1999,1154,391,961,40.7,115,342,33.6,257,305,84.3,23,160,183,481,67,20,219,121,1068,2.2,0.31
19,20,David Lee,GSW,57,2121,1147,464,922,50.3,0,5,0.0,219,280,78.2,171,374,545,162,54,22,149,179,1262,1.09,0.36
20,21,Joe Johnson,ATL,60,2127,1129,423,931,45.4,125,322,38.8,158,186,84.9,53,168,221,232,48,13,116,75,991,2.0,0.41
21,21,Pau Gasol,LAL,65,2430,1129,459,917,50.1,7,27,25.9,204,261,78.2,183,495,678,237,37,88,142,127,1512,1.67,0.26
22,23,Andrew Bynum,LAL,60,2112,1123,444,796,55.8,1,5,20.0,234,338,69.2,192,517,709,85,27,116,152,104,1452,0.56,0.18
23,24,Antawn Jamison,CLE,65,2151,1118,421,1044,40.3,91,267,34.1,185,271,68.3,123,285,408,131,51,43,90,164,952,1.46,0.57
24,25,Dwight Howard,ORL,54,2070,1113,416,726,57.3,0,7,0.0,281,572,49.1,200,585,785,104,81,116,175,159,1423,0.59,0.46
25,26,Tony Parker,SAS,60,1923,1095,427,890,48.0,14,61,23.0,227,284,79.9,22,149,171,463,57,5,153,75,1118,3.03,0.37
26,27,Dwyane Wade,MIA,49,1625,1082,416,837,49.7,15,56,26.8,235,297,79.1,73,164,237,225,82,63,129,110,1077,1.74,0.64
27,28,John Wall,WAS,66,2386,1076,378,894,42.3,3,42,7.1,317,402,78.9,48,252,300,530,95,57,255,137,1202,2.08,0.37
28,29,Paul Millsap,UTA,64,2100,1061,426,861,49.5,7,31,22.6,202,255,79.2,180,383,563,150,118,52,112,222,1344,1.34,1.05
29,30,DeMar DeRozan,TOR,63,2206,1054,381,903,42.2,24,92,26.1,268,331,81.0,40,171,211,128,48,17,123,162,750,1.04,0.39
30,31,James Harden,OKC,62,1946,1044,309,629,49.1,114,292,39.0,312,369,84.6,30,222,252,229,62,15,137,150,1088,1.67,0.45
31,32,Tyreke Evans,SAC,63,2162,1037,408,900,45.3,20,99,20.2,201,258,77.9,64,225,289,283,84,29,171,136,1002,1.66,0.49
32,33,Chris Bosh,MIA,57,2007,1025,393,807,48.7,10,35,28.6,229,279,82.1,94,358,452,103,51,45,117,128,1095,0.88,0.44
33,33,Luis Scola,HOU,66,2067,1025,436,888,49.1,0,3,0.0,153,198,77.3,122,306,428,140,35,24,153,214,1002,0.92,0.23
34,35,Marcin Gortat,PHX,66,2114,1017,427,769,55.5,0,2,0.0,163,251,64.9,185,474,659,59,48,99,90,142,1362,0.66,0.53
35,36,Greg Monroe,DET,66,2082,1015,407,781,52.1,0,1,0.0,201,272,73.9,239,398,637,152,83,46,161,180,1327,0.94,0.52
36,37,Ty Lawson,DEN,61,2124,999,374,767,48.8,73,200,36.5,178,216,82.4,54,173,227,401,82,6,149,94,1135,2.69,0.55
37,38,Carlos Boozer,CHI,66,1948,991,448,842,53.2,0,1,0.0,95,137,69.3,114,450,564,125,63,24,115,168,1216,1.09,0.55
38,39,Ryan Anderson,ORL,61,1964,980,332,757,43.9,166,422,39.3,150,171,87.7,224,247,471,54,50,26,57,146,1078,0.95,0.88
39,40,Lou Williams,PHI,64,1682,956,318,782,40.7,83,229,36.2,237,292,81.2,30,125,155,221,53,18,71,90,813,3.11,0.75
40,41,Marc Gasol,MEM,65,2370,952,357,740,48.2,1,12,8.3,237,317,74.8,120,459,579,204,62,121,121,201,1334,1.69,0.51
41,41,Marcus Thornton,SAC,51,1780,952,352,803,43.8,107,310,34.5,141,163,86.5,84,104,188,98,71,12,84,111,764,1.17,0.84
42,43,Jason Terry,DAL,63,2000,950,357,830,43.0,138,365,37.8,98,111,88.3,16,133,149,226,73,11,127,69,796,1.78,0.57
43,44,Kevin Garnett,BOS,60,1864,947,391,777,50.3,3,9,33.3,162,189,85.7,66,428,494,175,56,61,107,141,1213,1.64,0.52
44,45,Kyrie Irving,CLE,51,1558,944,350,747,46.9,73,183,39.9,171,196,87.2,44,147,191,275,54,20,160,110,902,1.72,0.34
45,46,Arron Afflalo,DEN,62,2086,943,329,699,47.1,88,221,39.8,197,247,79.8,40,157,197,149,36,13,85,134,833,1.75,0.42
46,47,Jordan Crawford,WAS,64,1753,938,349,872,40.0,79,273,28.9,161,203,79.3,44,124,168,190,59,5,141,111,654,1.35,0.42
47,48,Al Harrington,DEN,64,1761,910,345,773,44.6,101,303,33.3,119,176,67.6,72,318,390,88,58,12,112,181,861,0.79,0.52
48,49,Wesley Matthews,POR,66,2228,904,314,763,41.2,129,337,38.3,147,171,86.0,56,168,224,113,96,15,73,148,806,1.55,1.31
49,50,Tim Duncan,SAS,58,1634,895,361,733,49.2,0,4,0.0,173,249,69.5,110,410,520,132,38,88,97,98,1128,1.36,0.39
50,51,Jrue Holiday,PHI,65,2196,879,360,834,43.2,65,171,38.0,94,120,78.3,57,155,212,290,103,18,135,137,867,2.15,0.76
51,51,Nick Young,LAC,62,1729,879,316,784,40.3,103,282,36.5,144,169,85.2,31,102,133,56,44,17,83,141,553,0.68,0.53
52,53,Kris Humphries,NJN,62,2162,855,323,671,48.1,0,0,0.0,209,278,75.2,233,448,681,90,50,74,119,173,1214,0.76,0.42
53,54,Derrick Rose,CHI,39,1375,852,302,695,43.5,54,173,31.2,194,239,81.2,26,105,131,307,35,28,119,52,796,2.58,0.29
54,55,Brandon Knight,DET,66,2129,847,319,769,41.5,105,276,38.0,104,137,75.9,33,178,211,251,49,10,171,154,714,1.47,0.29
55,56,David West,IND,66,1925,842,349,716,48.7,2,9,22.2,142,176,80.7,118,315,433,140,52,46,93,160,1019,1.5,0.56
56,57,Jamal Crawford,POR,60,1613,837,283,737,38.4,80,260,30.8,191,206,92.7,16,102,118,191,55,14,111,74,635,1.72,0.49
57,58,Roy Hibbert,IND,65,1937,834,332,668,49.7,0,1,0.0,170,239,71.1,213,359,572,108,32,128,128,195,1141,0.84,0.25
58,59,O.J. Mayo,MEM,66,1771,833,300,736,40.8,100,275,36.4,133,172,77.3,30,180,210,169,71,23,124,137,707,1.36,0.57
59,60,Jeff Teague,ATL,66,2183,831,320,672,47.6,51,149,34.2,140,185,75.7,21,138,159,321,106,37,134,145,923,2.4,0.79
60,61,Gerald Henderson,CHA,55,1831,830,332,723,45.9,11,47,23.4,155,204,76.0,64,161,225,126,49,20,100,128,710,1.26,0.49
61,62,Luol Deng,CHI,54,2129,828,311,755,41.2,79,215,36.7,127,165,77.0,77,273,350,157,56,36,96,81,849,1.64,0.58
62,63,Klay Thompson,GSW,66,1608,826,318,718,44.3,111,268,41.4,79,91,86.8,24,137,161,133,49,20,103,155,674,1.29,0.48
63,64,Amar'e Stoudemire,NYK,47,1543,823,316,654,48.3,5,21,23.8,186,243,76.5,106,261,367,52,38,45,112,138,818,0.46,0.34
64,64,Jared Dudley,PHX,65,2020,823,312,643,48.5,80,209,38.3,119,164,72.6,95,206,301,112,49,19,72,107,856,1.56,0.68
65,66,Nicolas Batum,POR,59,1791,818,289,641,45.1,107,274,39.1,133,159,83.6,81,190,271,84,57,60,90,105,822,0.93,0.63
66,67,Rodney Stuckey,DET,55,1644,812,256,597,42.9,33,104,31.7,267,320,83.4,38,104,142,210,44,10,106,124,718,1.98,0.41
67,68,Thaddeus Young,PHI,63,1755,808,348,687,50.7,1,4,25.0,111,144,77.1,137,188,325,74,64,41,55,127,885,1.34,1.16
68,69,Gerald Wallace,NJN,58,2076,800,287,632,45.4,46,150,30.7,180,225,80.0,87,299,386,164,85,36,111,145,970,1.48,0.77
69,70,Kemba Walker,CHA,66,1792,799,281,767,36.6,69,226,30.5,168,213,78.9,30,204,234,289,60,20,119,79,752,2.43,0.5
70,71,Paul George,IND,66,1958,798,281,639,44.0,90,234,38.5,146,182,80.2,56,314,370,158,108,38,117,191,961,1.35,0.92
71,71,Tayshaun Prince,DET,63,2087,798,336,798,42.1,37,104,35.6,89,115,77.4,72,209,281,153,27,32,74,77,729,2.07,0.36
72,73,Mike Conley,MEM,62,2174,788,296,684,43.3,60,159,37.7,136,158,86.1,22,134,156,404,136,11,125,133,960,3.23,1.09
73,74,Ersan Ilyasova,MIL,60,1655,782,294,597,49.2,51,112,45.5,143,183,78.1,196,333,529,71,42,44,76,133,1049,0.93,0.55
74,74,Gordon Hayward,UTA,66,2015,782,267,586,45.6,55,159,34.6,193,232,83.2,59,171,230,207,53,41,109,106,846,1.9,0.49
75,76,Marco Belinelli,NOH,66,1966,780,286,686,41.7,107,284,37.7,101,129,78.3,19,153,172,101,48,5,69,115,609,1.46,0.7
76,77,Goran Dragic,HOU,66,1752,775,277,600,46.2,68,202,33.7,153,190,80.5,53,115,168,351,85,10,157,166,872,2.24,0.54
77,78,Steve Nash,PHX,62,1961,772,295,555,53.2,55,141,39.0,127,142,89.4,26,160,186,664,38,8,229,53,1164,2.9,0.17
78,79,Andre Iguodala,PHI,62,2209,771,287,632,45.4,76,193,39.4,121,196,61.7,56,325,381,339,107,30,115,92,1093,2.95,0.93
79,80,Drew Gooden,MIL,56,1469,766,287,657,43.7,16,55,29.1,176,208,84.6,130,233,363,144,46,34,109,112,842,1.32,0.42
80,81,Caron Butler,LAC,63,1871,753,287,705,40.7,92,257,35.8,87,107,81.3,44,186,230,78,52,9,77,123,607,1.01,0.68
81,82,JJ Redick,ORL,65,1765,751,248,584,42.5,112,268,41.8,143,157,91.1,18,132,150,164,27,6,68,92,680,2.41,0.4
82,83,Isaiah Thomas,SAC,65,1656,749,256,571,44.8,83,219,37.9,154,185,83.2,48,120,168,266,53,8,105,121,793,2.53,0.51
83,84,Anthony Morrow,NJN,62,1636,747,272,658,41.3,106,286,37.1,97,104,93.3,31,96,127,61,46,9,70,86,527,0.87,0.66
84,85,Brandon Bass,BOS,59,1868,738,303,632,47.9,0,0,0.0,132,163,81.0,95,270,365,55,34,54,65,135,821,0.85,0.52
85,86,Ramon Sessions,LAL,64,1707,721,242,565,42.8,43,97,44.3,194,248,78.2,33,181,214,354,44,3,141,100,818,2.51,0.31
86,87,Devin Harris,UTA,63,1741,715,241,542,44.5,77,213,36.2,156,209,74.6,12,100,112,316,64,13,122,136,744,2.59,0.53
87,88,Randy Foye,LAC,65,1682,712,256,644,39.8,127,329,38.6,73,85,85.9,25,113,138,146,46,24,73,130,593,2.0,0.63
88,89,Leandro Barbosa,IND,64,1382,708,271,637,42.5,65,170,38.2,101,124,81.5,33,95,128,96,56,7,94,135,512,1.02,0.6
89,89,MarShon Brooks,NJN,56,1648,708,274,640,42.8,47,150,31.3,113,148,76.4,70,130,200,131,52,15,118,116,587,1.11,0.44
90,91,Jarrett Jack,NOH,45,1530,700,266,583,45.6,39,112,34.8,129,148,87.2,23,153,176,285,31,9,106,93,759,2.69,0.29
91,92,Tyson Chandler,NYK,62,2061,699,241,355,67.9,0,2,0.0,217,315,68.9,212,400,612,56,56,89,102,186,1198,0.55,0.55
92,93,JaVale McGee,DEN,61,1535,691,307,552,55.6,0,0,0.0,77,167,46.1,163,314,477,31,35,132,87,166,944,0.36,0.4
93,94,Mo Williams,LAC,52,1472,685,260,611,42.6,93,239,38.9,72,80,90.0,23,76,99,160,51,7,86,103,557,1.86,0.59
94,95,Raymond Felton,POR,60,1906,684,261,642,40.7,62,203,30.5,100,124,80.6,27,122,149,390,78,10,170,122,736,2.29,0.46
95,96,Kevin Martin,HOU,40,1264,682,222,537,41.3,78,225,34.7,160,179,89.4,13,93,106,110,28,3,70,70,525,1.57,0.4
96,97,Mike Dunleavy,MIL,55,1445,677,239,504,47.4,83,208,39.9,116,143,81.1,29,175,204,117,28,8,58,87,684,2.02,0.48
97,98,Jameer Nelson,ORL,57,1706,676,259,606,42.7,87,231,37.7,71,88,80.7,29,152,181,325,38,5,135,130,726,2.41,0.28
98,99,Channing Frye,PHX,64,1669,674,255,613,41.6,91,263,34.6,73,82,89.0,71,308,379,88,42,70,63,176,823,1.4,0.67
99,100,Kyle Lowry,HOU,47,1510,670,210,513,40.9,79,211,37.4,171,198,86.4,37,176,213,310,73,14,130,133,820,2.38,0.56
100,100,Shawn Marion,DAL,63,1919,670,288,646,44.6,20,68,29.4,74,93,79.6,145,320,465,132,67,36,98,87,895,1.35,0.68
101,102,Alonzo Gee,CLE,63,1827,665,227,551,41.2,44,137,32.1,167,212,78.8,101,221,322,113,83,17,114,149,717,0.99,0.73
102,103,Courtney Lee,HOU,58,1757,660,251,580,43.3,87,217,40.1,71,86,82.6,26,133,159,88,68,22,64,106,589,1.38,1.06
103,104,Elton Brand,PHI,60,1732,659,287,581,49.4,0,1,0.0,85,116,73.3,145,284,429,97,58,97,65,176,950,1.49,0.89
104,105,Ray Allen,BOS,46,1565,655,226,493,45.8,106,234,45.3,97,106,91.5,14,128,142,109,49,8,68,83,619,1.6,0.72
105,106,Joakim Noah,CHI,64,1945,652,249,490,50.8,0,1,0.0,154,206,74.8,242,387,629,160,41,92,92,162,1189,1.74,0.45
106,107,Nikola Pekovic,MIN,47,1264,651,256,454,56.4,0,0,0.0,139,187,74.3,181,165,346,31,29,31,87,98,755,0.36,0.33
107,108,Shannon Brown,PHX,59,1400,650,251,598,42.0,68,188,36.2,80,99,80.8,38,119,157,69,44,15,64,66,505,1.08,0.69
108,109,Ben Gordon,DET,52,1398,648,234,530,44.2,63,147,42.9,117,136,86.0,14,107,121,127,34,11,115,114,511,1.1,0.3
109,110,Andre Miller,DEN,66,1809,639,242,552,43.8,18,83,21.7,137,169,81.1,53,168,221,441,63,9,177,133,854,2.49,0.36
110,110,Luke Ridnour,MIN,53,1750,639,242,550,44.0,49,152,32.2,106,119,89.1,19,122,141,252,56,16,96,136,687,2.63,0.58
111,112,Brandon Rush,GSW,65,1717,634,235,469,50.1,99,219,45.2,65,82,79.3,33,218,251,88,35,58,68,64,747,1.29,0.52
112,113,Rajon Rondo,BOS,53,1957,630,256,572,44.8,10,42,23.8,108,181,59.7,62,195,257,620,95,3,193,99,1023,3.21,0.49
113,114,Dorell Wright,GSW,61,1650,629,222,526,42.2,105,292,36.0,80,98,81.6,60,218,278,94,58,26,51,97,712,1.84,1.14
114,114,Jason Richardson,ORL,54,1591,629,243,596,40.8,102,277,36.8,41,69,59.4,36,158,194,107,53,22,60,91,564,1.78,0.88
115,116,Danilo Gallinari,DEN,43,1351,628,193,466,41.4,60,183,32.8,182,209,87.1,28,174,202,116,42,23,68,86,643,1.71,0.62
116,117,Mario Chalmers,MIA,64,1825,627,223,498,44.8,101,260,38.8,80,101,79.2,16,155,171,222,97,11,142,166,690,1.56,0.68
117,118,Darren Collison,IND,60,1878,621,230,523,44.0,34,94,36.2,127,153,83.0,30,157,187,287,49,14,114,101,725,2.52,0.43
118,119,Chris Kaman,NOH,47,1372,616,266,597,44.6,0,0,0.0,84,107,78.5,89,275,364,101,25,77,129,106,700,0.78,0.19
119,120,Vince Carter,DAL,61,1542,615,223,542,41.1,74,205,36.1,95,115,82.6,32,173,205,139,56,25,84,134,617,1.66,0.67
120,121,Tyler Hansbrough,IND,66,1442,614,194,479,40.5,0,1,0.0,226,278,81.3,113,177,290,30,54,9,65,159,595,0.46,0.83
121,122,DeJuan Blair,SAS,64,1363,611,269,504,53.4,0,1,0.0,73,119,61.3,154,197,351,78,59,12,92,168,738,0.85,0.64
122,123,Evan Turner,PHI,65,1713,610,263,590,44.6,11,49,22.4,73,108,67.6,27,349,376,180,40,20,105,117,759,1.71,0.38
123,124,Byron Mullens,CHA,65,1465,606,251,591,42.5,12,51,23.5,92,112,82.1,96,231,327,57,21,52,74,137,629,0.77,0.28
124,125,Andrea Bargnani,TOR,31,1032,603,209,484,43.2,34,115,29.6,151,173,87.3,24,148,172,61,18,15,69,52,503,0.88,0.26
125,125,Danny Green,SAS,66,1522,603,211,477,44.2,102,234,43.6,79,100,79.0,54,174,228,86,58,46,67,107,667,1.28,0.87
126,125,Serge Ibaka,OKC,66,1792,603,262,490,53.5,1,3,33.3,78,118,66.1,193,305,498,28,33,241,79,179,1056,0.35,0.42
127,128,Chandler Parsons,HOU,63,1804,599,248,549,45.2,60,178,33.7,43,78,55.1,90,210,300,134,73,29,81,142,718,1.65,0.9
128,129,Greivis Vasquez,NOH,66,1706,589,225,523,43.0,43,135,31.9,96,117,82.1,23,150,173,359,60,8,148,126,722,2.43,0.41
129,130,Derrick Williams,MIN,66,1418,583,205,498,41.2,37,138,26.8,136,195,69.7,77,234,311,38,30,31,77,95,564,0.49,0.39
130,130,Jason Thompson,SAC,64,1657,583,237,443,53.5,0,2,0.0,109,181,60.2,166,277,443,79,43,44,68,149,846,1.16,0.63
131,132,Landry Fields,NYK,66,1894,580,236,513,46.0,31,121,25.6,77,137,56.2,59,219,278,169,79,17,102,99,684,1.66,0.78
132,133,Marvin Williams,ATL,57,1500,579,203,470,43.2,58,149,38.9,115,146,78.8,76,218,294,71,47,18,39,84,672,1.82,1.21
133,134,Richard Jefferson,GSW,63,1748,578,203,488,41.6,113,269,42.0,59,85,69.4,26,193,219,88,37,19,50,121,580,1.76,0.74
134,135,Hedo Turkoglu,ORL,53,1653,576,209,504,41.5,91,258,35.3,67,95,70.5,24,175,199,233,45,17,142,139,605,1.64,0.32
135,136,Derrick Favors,UTA,65,1376,570,222,445,49.9,0,0,0.0,126,194,64.9,158,267,425,43,38,65,103,145,747,0.42,0.37
136,136,Nate Robinson,GSW,51,1192,570,205,484,42.4,66,181,36.5,94,113,83.2,15,85,100,231,59,2,75,118,589,3.08,0.79
137,138,Tony Allen,MEM,58,1525,568,210,448,46.9,8,26,30.8,140,175,80.0,98,135,233,79,104,33,94,142,650,0.84,1.11
138,139,Glen Davis,ORL,61,1427,566,225,534,42.1,2,14,14.3,114,167,68.3,107,224,331,47,43,19,75,106,569,0.63,0.57
139,139,James Johnson,TOR,62,1561,566,233,518,45.0,19,60,31.7,81,115,70.4,74,218,292,122,71,84,101,177,715,1.21,0.7
140,141,Iman Shumpert,NYK,59,1705,563,214,534,40.1,48,157,30.6,87,109,79.8,42,144,186,164,101,8,111,173,569,1.48,0.91
141,142,Chase Budinger,HOU,58,1298,558,208,471,44.2,88,219,40.2,54,70,77.1,38,179,217,74,29,7,55,65,551,1.34,0.53
142,143,Gary Neal,SAS,56,1206,557,212,486,43.6,83,198,41.9,50,64,78.1,12,106,118,117,27,2,60,75,473,1.95,0.45
143,144,Jodie Meeks,PHI,66,1644,556,191,467,40.9,97,266,36.5,77,85,90.6,17,144,161,54,40,3,29,82,501,1.86,1.38
144,144,Jonas Jerebko,DET,64,1468,556,212,453,46.8,32,106,30.2,100,124,80.6,96,212,308,43,41,21,66,162,638,0.65,0.62
145,146,Jose Calderon,TOR,53,1799,555,218,477,45.7,59,159,37.1,60,68,88.2,19,141,160,468,47,3,104,94,862,4.5,0.45
146,147,Tiago Splitter,SAS,59,1121,549,212,343,61.8,0,0,0.0,125,181,69.1,93,213,306,65,21,47,87,134,714,0.75,0.24
147,148,Michael Beasley,MIN,47,1087,541,221,497,44.5,38,101,37.6,61,95,64.2,39,168,207,45,18,19,80,83,440,0.56,0.23
148,149,Nene,WAS,39,1110,535,211,393,53.7,0,4,0.0,113,168,67.3,63,228,291,80,42,38,96,95,653,0.83,0.44
149,150,D.J. Augustin,CHA,48,1408,532,183,487,37.6,61,179,34.1,105,120,87.5,24,85,109,307,36,1,110,65,556,2.79,0.33
150,151,Kyle Korver,CHI,65,1469,529,178,412,43.2,118,271,43.5,55,66,83.3,26,133,159,112,36,15,53,110,553,2.11,0.68
151,152,Marreese Speights,MEM,60,1345,526,221,488,45.3,0,3,0.0,84,109,77.1,133,241,374,48,21,29,74,147,632,0.65,0.28
152,153,Corey Brewer,DEN,59,1287,525,201,463,43.4,33,127,26.0,90,130,69.2,43,107,150,88,72,17,56,113,494,1.57,1.29
153,154,Derrick Brown,CHA,65,1443,524,212,409,51.8,6,24,25.0,94,141,66.7,95,141,236,67,48,12,55,96,588,1.22,0.87
154,155,Jeremy Lin,NYK,35,940,512,171,383,44.6,24,75,32.0,146,183,79.8,18,89,107,216,55,9,126,78,524,1.71,0.44
155,156,Carl Landry,NOH,41,999,511,182,362,50.3,0,3,0.0,147,184,79.9,78,136,214,38,13,12,64,89,507,0.59,0.2
156,157,CJ Miles,UTA,56,1145,508,177,465,38.1,46,150,30.7,108,136,79.4,27,89,116,69,46,18,53,122,388,1.3,0.87
157,158,Kawhi Leonard,SAS,64,1534,507,199,404,49.3,41,109,37.6,68,88,77.3,104,223,327,70,85,24,44,88,744,1.59,1.93
158,159,Grant Hill,PHX,49,1378,499,201,451,44.6,14,53,26.4,83,109,76.1,29,142,171,107,41,29,65,88,506,1.65,0.63
159,160,Tristan Thompson,CLE,60,1424,494,194,442,43.9,0,2,0.0,106,192,55.2,187,202,389,27,27,62,81,134,584,0.33,0.33
160,161,Metta World Peace,LAL,64,1720,493,183,465,39.4,56,189,29.6,71,115,61.7,71,147,218,140,69,27,69,137,552,2.03,1.0
161,162,Matt Barnes,LAL,63,1440,491,175,387,45.2,46,138,33.3,95,128,74.2,97,247,344,126,35,48,73,152,726,1.73,0.48
162,163,Patrick Patterson,HOU,64,1483,490,225,511,44.0,0,3,0.0,40,57,70.2,112,174,286,53,27,36,49,113,540,1.08,0.55
163,163,Samuel Dalembert,HOU,65,1446,490,200,395,50.6,0,1,0.0,90,113,79.6,158,298,456,33,37,111,82,162,827,0.4,0.45
164,165,Carlos Delfino,MIL,54,1537,488,182,453,40.2,86,239,36.0,38,48,79.2,20,188,208,123,79,10,66,99,561,1.86,1.2
165,166,DeAndre Jordan,LAC,66,1798,486,206,326,63.2,0,1,0.0,74,141,52.5,202,344,546,17,30,134,74,189,952,0.23,0.41
166,167,Avery Bradley,BOS,64,1368,484,200,402,49.8,22,54,40.7,62,78,79.5,34,81,115,87,43,12,75,109,448,1.16,0.57
167,167,Taj Gibson,CHI,63,1284,484,200,404,49.5,0,0,0.0,84,135,62.2,135,197,332,47,27,81,60,131,656,0.78,0.45
168,169,George Hill,IND,50,1274,481,168,380,44.2,54,147,36.7,91,117,77.8,31,120,151,145,42,17,52,98,546,2.79,0.81
169,170,Corey Maggette,CHA,32,881,480,139,373,37.3,24,66,36.4,178,208,85.6,21,104,125,39,23,1,59,83,345,0.66,0.39
170,171,Steve Novak,NYK,54,1020,477,161,337,47.8,133,282,47.2,22,26,84.6,9,95,104,12,16,9,21,59,417,0.57,0.76
171,172,C.J. Watson,CHI,49,1159,474,161,437,36.8,68,173,39.3,84,104,80.8,21,84,105,200,45,8,97,103,439,2.06,0.46
172,173,Linas Kleiza,TOR,49,1057,473,165,410,40.2,62,179,34.6,81,100,81.0,42,157,199,46,23,4,64,119,417,0.72,0.36
173,174,Rodrigue Beaubois,DAL,53,1151,472,188,445,42.2,38,132,28.8,58,69,84.1,19,132,151,152,56,28,70,98,521,2.17,0.8
174,175,Kenneth Faried,DEN,46,1037,471,181,309,58.6,0,0,0.0,109,164,66.5,142,210,352,36,34,47,54,116,703,0.67,0.63
175,176,Markieff Morris,PHX,63,1227,467,174,436,39.9,43,124,34.7,76,106,71.7,69,210,279,65,41,42,70,179,532,0.93,0.59
176,177,J.J. Barea,MIN,41,1032,463,167,418,40.0,53,143,37.1,76,98,77.6,14,100,114,232,21,0,103,61,454,2.25,0.2
177,178,Jimmer Fredette,SAC,61,1135,462,172,446,38.6,78,216,36.1,40,48,83.3,17,56,73,108,30,3,67,73,327,1.61,0.45
178,179,Stephen Jackson,SAS,47,1212,461,159,425,37.4,49,170,28.8,94,114,82.5,22,141,163,118,54,13,103,99,420,1.15,0.52
179,180,Omri Casspi,CLE,65,1341,459,166,412,40.3,53,168,31.5,74,108,68.5,63,165,228,66,37,21,64,115,467,1.03,0.58
180,181,Ronnie Brewer,CHI,66,1635,455,190,445,42.7,19,69,27.5,56,100,56.0,72,159,231,137,72,21,59,64,558,2.32,1.22
181,181,Zaza Pachulia,ATL,58,1640,455,169,339,49.9,0,0,0.0,117,158,74.1,154,303,457,79,55,29,81,172,783,0.97,0.68
182,183,Kevin Seraphin,WAS,57,1176,453,203,382,53.1,0,1,0.0,47,70,67.1,103,177,280,33,19,76,66,133,593,0.5,0.29
183,184,Amir Johnson,TOR,64,1553,452,196,340,57.6,2,5,40.0,58,84,69.0,149,259,408,79,33,69,94,209,777,0.84,0.35
184,184,JJ Hickson,POR,54,1244,452,183,392,46.7,0,2,0.0,86,134,64.2,133,202,335,45,30,35,70,85,570,0.64,0.43
185,186,Trevor Ariza,NOH,41,1350,444,168,403,41.7,29,87,33.3,79,102,77.5,41,174,215,135,69,25,76,73,554,1.78,0.91
186,187,Norris Cole,MIA,65,1260,441,177,450,39.3,21,76,27.6,66,85,77.6,21,70,91,133,44,2,105,124,314,1.27,0.42
